Track #0, length 10
 42014779 (1354) module 40, x  15.88, y 10.4375, z 390.473
 39908725 (1289) module 38, x 12.7175, y   8.43, z 313.525
 37804195 (1230) module 36, x 10.1875, y 6.8075, z 251.531
 35703990 (1164) module 34, x 9.1425, y 6.1475, z 226.531
 33603784 (1103) module 32, x 8.1525, y  5.515, z 201.531
 31503834 (1044) module 30, x  7.135, y 4.8825, z 176.531
 29403373 (972) module 28, x 6.1175, y  4.195, z 151.531
 27303167 (886) module 26, x 5.1275, y  3.535, z 126.531

Track #37, length 15
 53257799 (1620) module 50, x 4.0575, y -29.2175, z 739.531
 51159397 (1566) module 48, x   3.81, y -27.5675, z 694.531
 49061251 (1512) module 46, x 3.5625, y -25.9175, z 649.531
 46962849 (1460) module 44, x  3.315, y -24.2675, z 604.531
 44863473 (1399) module 42, x 2.7925, y -19.8675, z 485.982
 42629171 (1333) module 40, x 2.3525, y -16.32, z 389.411
 40533606 (1274) module 38, x  1.995, y -13.515, z 312.463
 38437775 (1215) module 36, x 1.7475, y -11.2875, z 250.469
 36341151 (1153) module 34, x 1.6375, y -10.4075, z 225.469
 34244527 (1095) module 32, x 1.5275, y -9.5275, z 200.469
 32147903 (1038) module 30, x 1.4175, y -8.6475, z 175.469
 30051278 (966) module 28, x   1.28, y -7.8225, z 150.469
 27954909 (882) module 26, x 1.1425, y -6.9975, z 125.469
 25858284 (808) module 24, x 1.0325, y -6.1725, z 100.469
 23761659 (733) module 22, x 0.922501, y -5.3475, z 75.469

Track #38, length 4
 52479461 (1625) module 50, x 6.5575, y 5.7625, z 739.531
 50380525 (1570) module 48, x 6.1175, y 5.3775, z 694.531
 48281588 (1515) module 46, x  5.705, y 4.9925, z 649.531
 46182652 (1463) module 44, x  5.265, y 4.6075, z 604.531

Track #39, length 4
 52454098 (1629) module 50, x 7.6025, y 0.3175, z 739.531
 50356955 (1574) module 48, x 7.1075, y 0.3175, z 694.531
 48259812 (1520) module 46, x 6.6125, y 0.3175, z 649.531
 46162669 (1467) module 44, x 6.1175, y 0.3175, z 604.531

Track #40, length 9
 53074703 (1633) module 50, x 11.0975, y -18.3275, z 738.469
 50980899 (1578) module 48, x 10.3825, y -17.2275, z 693.469
 48887095 (1524) module 46, x 9.6675, y  -16.1, z 648.469
 46792780 (1472) module 44, x   8.98, y -14.9725, z 603.469
 44704385 (1406) module 42, x 7.0825, y -12.0575, z 484.921
 42614188 (1337) module 40, x 5.5975, y -9.665, z 389.411
