Track #0, length 12
 50126407 (3158) module 47, x -7.1375, y 29.2175, z 661.531
 48027241 (3033) module 45, x -6.6975, y 27.3475, z 616.531
 45924546 (2903) module 43, x -5.4875, y 22.4525, z 497.982
 43667725 (2761) module 41, x -4.4975, y 18.4375, z 401.411
 41574214 (2612) module 39, x -3.7275, y 15.3025, z 324.463
 39480181 (2463) module 37, x -3.0675, y 12.7175, z 262.469
 37384072 (2305) module 35, x -2.8475, y 11.6725, z 237.469
 35288218 (2142) module 33, x -2.5725, y 10.6825, z 212.469
 33192365 (1978) module 31, x -2.2975, y 9.6375, z 187.469
 31096256 (1823) module 29, x -2.0775, y 8.5925, z 162.469
 29000402 (1661) module 27, x -1.8025, y  7.575, z 137.469
 26904293 (1503) module 25, x -1.5825, y 6.5575, z 112.469
 24808440 (1359) module 23, x -1.3075, y 5.5125, z 87.469

Track #18, length 5
 53543142 (3397) module 51, x -6.5025, y  -9.09, z 751.531
 51443949 (3286) module 49, x -6.1175, y -8.5675, z 706.531
 49343988 (3162) module 47, x -5.7325, y  -7.99, z 661.531
 47244284 (3038) module 45, x -5.2925, y -7.4125, z 616.531
 44756723 (2780) module 42, x -4.1375, y -5.7875, z 484.921

Track #19, length 13
 54315599 (3400) module 51, x -6.0375, y 28.7775, z 751.531
 52218745 (3287) module 49, x -6.0925, y 26.4675, z 706.531
 50121890 (3161) module 47, x -6.1475, y 24.185, z 661.531
 48024780 (3036) module 45, x -6.1475, y 21.875, z 616.531
 45756734 (2897) module 43, x -6.2575, y 15.7425, z 496.921
 43659415 (2753) module 41, x -6.3125, y 10.8475, z 401.411
 41562078 (2604) module 39, x  -6.34, y 6.9425, z 324.463
 38803176 (2450) module 37, x -6.3925, y 3.8625, z 263.531
 36711912 (2290) module 35, x -6.3925, y 2.5975, z 238.531
 34620647 (2126) module 33, x -6.4475, y 1.3325, z 213.531
 32529383 (1959) module 31, x -6.4475, y 0.0675001, z 188.531
 30438119 (1806) module 29, x -6.4475, y -1.1975, z 163.531
 28346854 (1644) module 27, x -6.5025, y -2.4625, z 138.531

Track #20, length 14
 54312820 (3401) module 51, x -5.4325, y 26.7425, z 751.531
 52214159 (3289) module 49, x -5.1025, y  25.23, z 706.531
 50115755 (3165) module 47, x -4.8275, y 23.7175, z 661.531
 48017095 (3039) module 45, x -4.4975, y 22.1775, z 616.531
 45768722 (2907) module 43, x -3.6725, y 18.1625, z 496.921
 43674700 (2762) module 41, x -3.0125, y 14.9725, z 401.411
 41579899 (2614) module 39, x -2.5175, y  12.36, z 324.463
 39484834 (2466) module 37, x -2.0775, y 10.2425, z 262.469
 37388465 (2308) module 35, x -1.9125, y 9.4175, z 237.469
 35292096 (2145) module 33, x -1.7475, y 8.5925, z 212.469
 33195727 (1981) module 31, x -1.5825, y   7.74, z 187.469
 31099359 (1826) module 29, x  -1.39, y 6.8875, z 162.469
 29002990 (1665) module 27, x -1.225, y 6.0625, z 137.469
 26906621 (1505) module 25, x  -1.06, y 5.2375, z 112.469

Track #21, length 11
 54306020 (3403) module 51, x -3.9475, y 20.5825, z 751.531
 52208122 (3291) module 49, x -3.7825, y 19.3725, z 706.531
 49963538 (3167) module 47, x -3.5625, y 18.1625, z 660.469
 47867176 (3041) module 45, x  -3.37, y 16.9525, z 615.469
 45772641 (2910) module 43, x -2.8475, y 13.8175, z 496.921
 43677582 (2765) module 41, x  -2.38, y 11.3425, z 401.411
 41582516 (2616) module 39, x -1.9675, y 9.2525, z 324.463
 39487188 (2468) module 37, x -1.5825, y 7.4925, z 262.469
 37390560 (2310) module 35, x -1.43583, y 6.79583, z 237.469
 35294189 (2147) module 33, x  -1.28, y 6.1175, z 212.469
 33197818 (1983) module 31, x -1.1425, y 5.4025, z 187.469

Track #22, length 6
 54168998 (3404) module 51, x -1.1975, y 10.0225, z 750.469
 52072369 (3292) module 49, x -1.0875, y   9.39, z 705.469
 49975740 (3168) module 47, x -0.977501, y  8.785, z 660.469
 47879112 (3042) module 45, x -0.8675, y 8.1525, z 615.469
 45783013 (2911) module 43, x -0.647499, y 6.5575, z 496.921
 43686653 (2766) module 41, x -0.482502, y 5.2375, z 401.411

Track #23, length 12
 54281300 (3407) module 51, x 1.3325, y 28.5025, z 751.531
 52184692 (3294) module 49, x 1.2225, y 26.7425, z 706.531
 50087828 (3171) module 47, x   1.14, y 24.9825, z 661.531
 47991220 (3046) module 45, x 1.0575, y 23.195, z 616.531
 45789708 (2914) module 43, x 0.837498, y 18.4925, z 496.921
 43691856 (2769) module 41, x 0.672501, y 14.725, z 401.411
 41594247 (2619) module 39, x 0.5625, y   11.7, z 324.463
 39496627 (2471) module 37, x 0.452499, y   9.28, z 262.469
