Track #0, length 7
 51401410 (967) module 49, x -8.4825, y 0.5625, z 706.531
 49304266 (923) module 47, x -8.00583, y 0.525834, z 661.531
 47207379 (880) module 45, x -7.5475, y 0.5075, z 616.531
 45110507 (841) module 43, x -6.2275, y  0.425, z 497.982
 43013629 (795) module 41, x -5.2375, y   0.37, z 402.473

Track #14, length 4
 53499361 (1016) module 51, x -6.7775, y 0.3975, z 751.531
 51402215 (971) module 49, x -6.4475, y 0.3975, z 706.531
 49305325 (927) module 47, x  -6.09, y 0.3425, z 661.531
 47208180 (882) module 45, x -5.7325, y 0.3425, z 616.531

Track #15, length 6
 53536237 (1018) module 51, x -6.1175, y -7.5225, z 751.531
 51437299 (973) module 49, x -5.7875, y -7.1375, z 706.531
 49338105 (929) module 47, x -5.4575, y -6.725, z 661.531
 47239167 (885) module 45, x -5.1275, y  -6.34, z 616.531
 46857963 (845) module 44, x -5.0175, y -6.2275, z 603.469
 44756990 (803) module 42, x -4.1925, y -5.1825, z 484.921

Track #16, length 4
 53484793 (1019) module 51, x -5.4575, y 3.5325, z 751.531
 51388923 (974) module 49, x -5.3475, y 3.2575, z 706.531
 49292796 (930) module 47, x -5.2925, y   3.01, z 661.531
 47196926 (884) module 45, x -5.1825, y 2.7625, z 616.531

Track #17, length 8
 52511475 (986) module 50, x 5.7875, y 12.7475, z 739.531
 50411001 (939) module 48, x 5.4575, y 12.0325, z 694.531
 48310527 (895) module 46, x 5.1275, y 11.345, z 649.531
 47905944 (888) module 45, x 4.9075, y 10.7925, z 615.469
 45804985 (844) module 43, x 4.0825, y 8.9775, z 496.921
 43704788 (801) module 41, x 3.4225, y 7.4925, z 401.411
 41605098 (754) module 39, x 2.8725, y 6.2825, z 324.463
 39505916 (703) module 37, x 2.4325, y 5.2925, z 262.469

Track #18, length 5
 53834674 (1005) module 51, x -23.305, y -17.8175, z 750.469
 51475007 (962) module 49, x -15.6508, y -15.4242, z 706.531
 49366478 (924) module 47, x -7.795, y -12.9125, z 661.531
 46823851 (847) module 44, x 2.2975, y  -9.72, z 603.469
 44494781 (821) module 42, x 22.7092, y -3.22917, z 484.921

Track #19, length 4
 53105114 (983) module 50, x 4.4975, y -7.1625, z 738.469
 51008993 (937) module 48, x   4.25, y -6.7775, z 693.469
 48913128 (893) module 46, x 4.0025, y -6.3925, z 648.469
 46817007 (851) module 44, x 3.7825, y  -5.98, z 603.469

Track #20, length 4
 52451565 (988) module 50, x 6.1175, y -0.2325, z 739.531
 50354419 (941) module 48, x 5.7875, y -0.2325, z 694.531
 48257273 (897) module 46, x 5.4575, y -0.2325, z 649.531
 46160383 (853) module 44, x 5.1275, y -0.1775, z 604.531

Track #21, length 9
 52516289 (990) module 50, x 8.5375, y 13.7925, z 739.531
 50415817 (943) module 48, x 8.0975, y 13.0775, z 694.531
 48315345 (900) module 46, x 7.6575, y 12.3625, z 649.531
 46214873 (856) module 44, x   7.19, y 11.6475, z 604.531
 44109039 (810) module 42, x 6.0075, y 9.7775, z 485.982
 41612505 (755) module 39, x 4.4675, y 7.2175, z 324.463
 39512554 (704) module 37, x 3.8625, y  6.255, z 262.469
 37414129 (656) module 35, x 3.5875, y   5.87, z 237.469
 35315961 (604) module 33, x 3.3675, y 5.4575, z 212.469

Track #22, length 7
 53075447 (992) module 50, x 10.9875, y  -5.54, z 738.469
 50980861 (945) module 48, x 10.4375, y -5.2375, z 693.469
 48235177 (901) module 46, x 9.8575, y -4.9625, z 649.531
 46139315 (857) module 44, x 9.3075, y -4.6875, z 604.531
 44045775 (811) module 42, x 7.7675, y -3.9175, z 485.982
 41951461 (763) module 40, x 6.5575, y -3.3125, z 390.473
 39856375 (712) module 38, x 5.5675, y -2.8725, z 313.525

Track #23, length 7
 53073296 (994) module 50, x   11.4, y -11.2325, z 738.469
 50979228 (947) module 48, x 10.7675, y -10.5725, z 693.469
 48885159 (903) module 46, x 10.1075, y -9.9675, z 648.469
 46791090 (858) module 44, x 9.4475, y -9.335, z 603.469
 44701136 (812) module 42, x 7.7975, y -7.7125, z 484.921
 42610408 (761) module 40, x 6.4225, y -6.3925, z 389.411
 40518396 (710) module 38, x 5.3225, y -5.265, z 312.463

Track #24, length 8
 52450164 (996) module 50, x 12.7725, y -0.5075, z 739.531
 50353024 (949) module 48, x 12.085, y  -0.48, z 694.531
 48256141 (905) module 46, x 11.3975, y -0.4525, z 649.531
 46159258 (861) module 44, x 10.6825, y -0.3975, z 604.531
 44062395 (815) module 42, x 8.8675, y -0.3425, z 485.982
 41965526 (765) module 40, x 7.3825, y -0.2875, z 390.473
 39868651 (714) module 38, x 6.2275, y -0.2325, z 313.525
 37771516 (661) module 36, x 5.2925, y -0.205, z 251.531

Track #25, length 14
 52779923 (999) module 50, x 25.0375, y 19.1375, z 738.469
 50687660 (952) module 48, x 23.6625, y 18.0925, z 693.469
 48595397 (909) module 46, x 22.2875, y 17.0475, z 648.469
 46503134 (865) module 44, x 20.9125, y 16.0025, z 603.469
 44124961 (820) module 42, x 17.3375, y  13.27, z 485.982
 42017622 (770) module 40, x 14.4225, y 11.0425, z 390.473
 39912065 (719) module 38, x 12.0575, y  9.255, z 313.525
 37808803 (667) module 36, x  10.16, y 7.7975, z 251.531
 35708849 (616) module 34, x 9.4175, y 7.1925, z 226.531
 33609151 (568) module 32, x 8.6475, y 6.6425, z 201.531
 31509197 (523) module 30, x 7.8775, y 6.0375, z 176.531
 29409243 (472) module 28, x 7.1075, y 5.4325, z 151.531
 27309545 (425) module 26, x 6.3375, y 4.8825, z 126.531
 25209591 (381) module 24, x 5.5675, y 4.2775, z 101.531

Track #26, length 7
 53240245 (980) module 50, x 0.2625, y -23.1675, z 739.531
 51143372 (934) module 48, x 0.3175, y -21.9025, z 694.531
 49046500 (890) module 46, x 0.3725, y -20.5825, z 649.531
 46949371 (846) module 44, x 0.3725, y -19.3175, z 604.531
 44735035 (804) module 42, x 0.482502, y -15.9075, z 484.921
 42637677 (757) module 40, x 0.537502, y -13.1575, z 389.411
 40540565 (706) module 38, x 0.537502, y -10.9575, z 312.463

Track #27, length 14
 53257883 (981) module 50, x 4.0575, y -24.5975, z 739.531
 51159731 (936) module 48, x 3.8375, y -23.25, z 694.531
 49061580 (892) module 46, x 3.6175, y -21.9025, z 649.531
 46963173 (850) module 44, x   3.37, y -20.5275, z 604.531
 44724265 (806) module 42, x 2.7925, y -16.8975, z 484.921
 42629470 (759) module 40, x 2.2975, y -13.9825, z 389.411
 40534153 (708) module 38, x 1.9125, y -11.6175, z 312.463
 38438571 (658) module 36, x 1.5825, y -9.7475, z 250.469
 36341945 (606) module 34, x 1.4725, y -8.9775, z 225.469
 34245318 (558) module 32, x 1.3625, y -8.235, z 200.469
 32148948 (512) module 30, x 1.1975, y -7.4925, z 175.469
 30052322 (463) module 28, x 1.0875, y -6.7225, z 150.469
 27955696 (419) module 26, x 0.977501, y -5.9525, z 125.469
 25859069 (377) module 24, x   0.84, y  -5.21, z 100.469

Track #28, length 12
 53265399 (985) module 50, x   5.68, y -19.5375, z 739.531
 51003661 (938) module 48, x   5.35, y -18.4375, z 693.469
 48908065 (894) module 46, x   5.02, y -17.3375, z 648.469
 46812469 (852) module 44, x 4.7175, y -16.2375, z 603.469
 44719208 (807) module 42, x 3.87417, y -13.4142, z 484.921
 42625426 (760) module 40, x 3.1775, y -11.1225, z 389.411
 40530868 (709) module 38, x 2.6275, y -9.2525, z 312.463
 38435535 (659) module 36, x  2.215, y -7.7675, z 250.469
 36339418 (608) module 34, x 2.0225, y -7.1625, z 225.469
 34243045 (560) module 32, x 1.8575, y -6.5575, z 200.469
 32146672 (514) module 30, x 1.6925, y -5.9525, z 175.469
 30050299 (465) module 28, x 1.5275, y -5.3475, z 150.469

Track #29, length 5
 52465605 (989) module 50, x   8.29, y 2.7925, z 739.531
 50367693 (942) module 48, x 7.8775, y  2.655, z 694.531
 48270036 (898) module 46, x 7.4925, y 2.5175, z 649.531
 46172124 (854) module 44, x 7.0525, y 2.3525, z 604.531
 44073200 (809) module 42, x 5.9525, y 1.9675, z 485.982

Track #30, length 5
 52487615 (991) module 50, x   8.62, y 7.5225, z 739.531
 50388680 (944) module 48, x 8.1525, y 7.1375, z 694.531
 48289489 (899) module 46, x 7.6575, y 6.6975, z 649.531
 46190298 (855) module 44, x 7.1625, y  6.285, z 604.531
 44088305 (808) module 42, x 5.8975, y 5.2125, z 485.982

Track #31, length 7
 53073622 (993) module 50, x 11.3725, y -7.3825, z 738.469
 50979549 (946) module 48, x 10.7125, y  -6.97, z 693.469
 48885221 (902) module 46, x 10.1075, y -6.5575, z 648.469
 46790892 (859) module 44, x  9.475, y -6.1725, z 603.469
 44700927 (813) module 42, x 7.8525, y -5.1275, z 484.921
 41947110 (762) module 40, x 6.5025, y -4.2475, z 390.473
 39853049 (711) module 38, x 5.4575, y  -3.56, z 313.525

Track #32, length 12
 53071123 (995) module 50, x 11.8675, y -18.1075, z 738.469
 50976805 (948) module 48, x 11.235, y -17.1175, z 693.469
 48882743 (904) module 46, x 10.6025, y -16.1275, z 648.469
 46788681 (860) module 44, x 9.9425, y -15.1375, z 603.469
 44699001 (814) module 42, x 8.2375, y -12.4975, z 484.921
 42608287 (764) module 40, x 6.8625, y -10.4075, z 389.411
 40516286 (713) module 38, x 5.7625, y -8.7025, z 312.463
 38423511 (660) module 36, x 4.8275, y -7.3275, z 250.469
 36327905 (609) module 34, x 4.4975, y -6.7775, z 225.469
 34232555 (561) module 32, x 4.1125, y -6.2275, z 200.469
 32137205 (516) module 30, x 3.7275, y -5.6775, z 175.469
 30041599 (467) module 28, x 3.3975, y -5.1275, z 150.469

Track #33, length 10
 53057758 (997) module 50, x 14.7825, y -6.9425, z 738.469
 50963941 (950) module 48, x 14.0675, y -6.5575, z 693.469
 48870124 (906) module 46, x 13.3525, y -6.145, z 648.469
 46776308 (862) module 44, x 12.6375, y -5.7325, z 603.469
 44042135 (816) module 42, x  10.82, y -4.6875, z 485.982
 41948851 (766) module 40, x 9.3075, y -3.835, z 390.473
 39855053 (715) module 38, x 7.8775, y -3.1475, z 313.525
 37760229 (662) module 36, x 6.5575, y -2.625, z 251.531
 35664110 (610) module 34, x 6.0625, y -2.4325, z 226.531
 33567992 (562) module 32, x 5.5125, y -2.2125, z 201.531

Track #34, length 15
 53354065 (998) module 50, x 24.9575, y -28.64, z 739.531
 51250542 (951) module 48, x 23.5825, y -27.0725, z 694.531
 49147275 (908) module 46, x  22.18, y -25.4775, z 649.531
 47043751 (864) module 44, x 20.805, y -23.91, z 604.531
 44930035 (819) module 42, x 17.2025, y -19.7575, z 485.982
 42574131 (769) module 40, x 14.2875, y -16.3475, z 389.411
 40488035 (718) module 38, x 11.9225, y -13.68, z 312.463
