Track #0, length 4
Track #15, length 7
 53492061 (3406) module 51, x -14.0375, y 1.9375, z 751.531
 51395436 (3303) module 49, x -13.2125, y 1.8275, z 706.531
 49298811 (3189) module 47, x -12.36, y 1.7175, z 661.531
 47202186 (3078) module 45, x -11.535, y 1.6075, z 616.531
 45106354 (2970) module 43, x -9.3625, y 1.3325, z 497.982
 43010258 (2854) module 41, x -7.6025, y 1.1125, z 402.473
 40914155 (2739) module 39, x -6.2275, y 0.8925, z 325.525

Track #16, length 7
 53508208 (3407) module 51, x -12.9925, y -1.5275, z 751.531
 51410044 (3304) module 49, x -12.3325, y -1.3075, z 706.531
 49311880 (3190) module 47, x -11.6725, y -1.0875, z 661.531
 47213716 (3079) module 45, x -11.0125, y -0.8675, z 616.531
 45114806 (2971) module 43, x -9.1425, y -0.4825, z 497.982
 43017171 (2855) module 41, x -7.5475, y -0.3725, z 402.473
 40919787 (2740) module 39, x   -6.2, y -0.3175, z 325.525

Track #17, length 4
 53543302 (3411) module 51, x -11.7825, y -9.1725, z 751.531
 51444627 (3308) module 49, x -11.0345, y -8.7325, z 706.531
 49345439 (3194) module 47, x -10.3708, y -8.31083, z 661.531
 47246251 (3083) module 45, x -9.7475, y -7.8525, z 616.531

Track #18, length 4
 53543048 (3412) module 51, x -11.6725, y  -9.09, z 751.531
 51444627 (3308) module 49, x -11.0345, y -8.7325, z 706.531
 49345439 (3194) module 47, x -10.3708, y -8.31083, z 661.531
 47246251 (3083) module 45, x -9.7475, y -7.8525, z 616.531

Track #19, length 6
 53483694 (3423) module 51, x -9.555, y 3.7525, z 751.531
 51387576 (3315) module 49, x -9.0325, y 3.5325, z 706.531
 49291201 (3202) module 47, x -8.5375, y   3.34, z 661.531
 47195082 (3091) module 45, x -8.015, y 3.1475, z 616.531
 45100515 (2982) module 43, x -6.6675, y 2.5975, z 497.982
 43005175 (2866) module 41, x -5.5675, y 2.2125, z 402.473

Track #20, length 5
 53518791 (3430) module 51, x -8.2075, y -3.7825, z 751.531
 51420624 (3321) module 49, x -7.7125, y -3.5625, z 706.531
 49322457 (3207) module 47, x -7.2175, y -3.3425, z 661.531
 47224289 (3096) module 45, x  -6.75, y -3.1225, z 616.531
 45124345 (2987) module 43, x -5.4575, y -2.5175, z 497.982

Track #21, length 6
 54155430 (3440) module 51, x -4.1125, y 10.0225, z 750.469
 52059569 (3332) module 49, x -3.8375, y 9.4175, z 705.469
 49963452 (3217) module 47, x -3.6175, y 8.8125, z 660.469
 47867590 (3101) module 45, x -3.3425, y 8.2625, z 615.469
 45773283 (2991) module 43, x -2.7375, y 6.6675, z 496.921
 43678714 (2870) module 41, x -2.1875, y 5.4025, z 401.411

Track #22, length 7
 54297347 (3442) module 51, x  -2.16, y 32.9575, z 751.531
 52198697 (3334) module 49, x -1.8025, y 30.8675, z 706.531
 50100047 (3219) module 47, x -1.4725, y 28.7775, z 661.531
 48001397 (3103) module 45, x -1.1425, y 26.6875, z 616.531
 45899993 (2994) module 43, x -0.2075, y 21.1875, z 497.982
 43691053 (2877) module 41, x 0.5075, y 16.6775, z 401.411
 41596783 (2757) module 39, x 1.1125, y 13.0475, z 324.463

Track #23, length 13
 54286807 (3444) module 51, x 0.1775, y 21.2975, z 751.531
 52189676 (3336) module 49, x 0.1775, y 20.115, z 706.531
 49980932 (3221) module 47, x 0.204998, y 18.9325, z 660.469
 47884057 (3106) module 45, x 0.232498, y  17.75, z 615.469
 45786962 (2997) module 43, x 0.232498, y 14.6425, z 496.921
 43689599 (2875) module 41, x 0.204998, y 12.1675, z 401.411
 41592483 (2753) module 39, x 0.177498, y 10.1875, z 324.463
 39495360 (2630) module 37, x 0.177498, y  8.565, z 262.469
 37398220 (2511) module 35, x 0.177498, y 7.9325, z 237.469
 35301080 (2386) module 33, x 0.177498, y 7.2725, z 212.469
 33203684 (2251) module 31, x 0.149998, y 6.6125, z 187.469
 31106544 (2114) module 29, x 0.122498, y 5.9525, z 162.469
 29009403 (1980) module 27, x 0.122498, y   5.32, z 137.469

Track #24, length 12
 54049192 (3395) module 51, x -27.1575, y  9.885, z 750.469
 51959731 (3289) module 49, x -25.5075, y 9.3075, z 705.469
 49870270 (3179) module 47, x -23.8575, y 8.7025, z 660.469
 47780040 (3068) module 45, x -22.235, y 8.1525, z 615.469
 45703138 (2959) module 43, x -17.9175, y 6.7225, z 496.921
 43622393 (2842) module 41, x -14.3975, y 5.4575, z 401.411
 40897416 (2727) module 39, x -11.6725, y 4.4675, z 325.525
 38804145 (2609) module 37, x -9.4175, y 3.6425, z 263.531
 36708545 (2491) module 35, x  -8.51, y 3.3125, z 238.531
 34612945 (2369) module 33, x  -7.63, y 2.9825, z 213.531
 32517345 (2233) module 31, x -6.7775, y 2.6525, z 188.531
 30421745 (2106) module 29, x -5.8975, y 2.3225, z 163.531

Track #25, length 12
 53543993 (3403) module 51, x -16.0175, y -9.365, z 751.531
 51445320 (3299) module 49, x -15.1925, y -8.8975, z 706.531
 49345879 (3185) module 47, x -14.3675, y -8.4025, z 661.531
 47246438 (3074) module 45, x -13.5425, y -7.9075, z 616.531
 45143437 (2966) module 43, x -11.3975, y  -6.67, z 497.982
 43041708 (2850) module 41, x -9.665, y -5.6525, z 402.473
 40940742 (2734) module 39, x -8.2625, y -4.8275, z 325.525
 38840538 (2616) module 37, x -7.135, y -4.1675, z 263.531
 36742115 (2499) module 35, x -6.6675, y -3.8925, z 238.531
 34643691 (2374) module 33, x -6.2275, y -3.645, z 213.531
 32545523 (2238) module 31, x -5.7875, y -3.3975, z 188.531
 30447099 (2108) module 29, x  -5.32, y -3.1225, z 163.531

Track #26, length 13
 53645687 (3409) module 51, x -12.58, y -31.2825, z 751.531
 51539845 (3305) module 49, x -11.8375, y -29.4125, z 706.531
 49434258 (3191) module 47, x -11.1225, y -27.5975, z 661.531
 47328416 (3080) module 45, x -10.3525, y -25.7275, z 616.531
 45209283 (2974) module 43, x   -8.4, y -20.8875, z 497.982
 43093728 (2858) module 41, x -6.8325, y -16.955, z 402.473
 40982007 (2742) module 39, x -5.5675, y -13.7925, z 325.525
 38465945 (2522) module 36, x -4.3025, y -10.7375, z 250.469
 36366764 (2398) module 34, x  -3.89, y -9.6925, z 225.469
 34267839 (2263) module 32, x -3.4775, y -8.6475, z 200.469
 32168657 (2124) module 30, x -3.065, y -7.6575, z 175.469
 30069732 (1992) module 28, x -2.6525, y -6.6125, z 150.469
 27970806 (1853) module 26, x -2.2675, y -5.595, z 125.469

Track #27, length 7
 53497999 (3415) module 51, x -11.2875, y 0.6725, z 751.531
 51400859 (3309) module 49, x -10.6275, y 0.6725, z 706.531
 49303975 (3195) module 47, x -9.9675, y 0.6175, z 661.531
 47207091 (3084) module 45, x -9.3075, y 0.5625, z 616.531
 45110482 (2975) module 43, x -7.6025, y 0.4525, z 497.982
 43013611 (2860) module 41, x -6.2275, y 0.3975, z 402.473
 40916991 (2746) module 39, x -5.1275, y 0.2875, z 325.525

Track #28, length 12
 54338469 (3416) module 51, x -11.0425, y 24.0475, z 751.531
 52238271 (3310) module 49, x -10.3825, y 22.6175, z 706.531
 50138072 (3196) module 47, x -9.7225, y 21.215, z 661.531
 48038130 (3085) module 45, x  -9.09, y 19.8125, z 616.531
 45751609 (2976) module 43, x -7.3575, y 16.0175, z 496.921
 43660912 (2863) module 41, x -5.9825, y 12.9925, z 401.411
 41568923 (2748) module 39, x -4.86417, y 10.5908, z 324.463
 39476159 (2625) module 37, x -3.9475, y 8.6475, z 262.469
 37380557 (2506) module 35, x -3.59917, y 7.84083, z 237.469
 35285212 (2380) module 33, x -3.2325, y 7.0525, z 212.469
 33189866 (2245) module 31, x -2.8475, y 6.2825, z 187.469
 31094265 (2111) module 29, x -2.5175, y 5.4575, z 162.469

Track #29, length 11
 54127444 (3419) module 51, x -10.2175, y 14.5325, z 750.469
 52032594 (3312) module 49, x -9.70417, y 14.6058, z 705.469
 49938001 (3198) module 47, x -9.1725, y 14.6975, z 660.469
 47843152 (3087) module 45, x -8.5675, y 14.725, z 615.469
