Track #0, length 11
 54141105 (5249) module 51, x -7.1925, y 9.4175, z 750.469
 52046011 (5051) module 49, x -6.7525, y 8.8675, z 705.469
 49950660 (4850) module 47, x -6.3675, y  8.345, z 660.469
 47855310 (4652) module 45, x -5.9825, y 7.8225, z 615.469
 45763047 (4459) module 43, x  -4.91, y 6.4475, z 496.921
 43670012 (4259) module 41, x -4.0575, y 5.2925, z 401.411

Track #41, length 14
 54038560 (5196) module 51, x -29.4125, y 17.365, z 750.469
 51949107 (4997) module 49, x -27.735, y 16.3475, z 705.469
 49859909 (4791) module 47, x -26.0575, y 15.3575, z 660.469
 47770455 (4596) module 45, x -24.4075, y 14.3675, z 615.469
 45693319 (4404) module 43, x -19.98, y 11.7275, z 496.921
 43612845 (4213) module 41, x -16.4325, y 9.6375, z 401.411
 41529035 (4001) module 39, x -13.5725, y 7.9875, z 324.463
 39442660 (3779) module 37, x -11.2625, y 6.6125, z 262.469
 37349870 (3551) module 35, x -10.3275, y 6.0625, z 237.469
 35256824 (3319) module 33, x  -9.42, y 5.5125, z 212.469
 32506305 (3077) module 31, x -8.5375, y   4.99, z 188.531
 30411730 (2848) module 29, x -7.6025, y   4.44, z 163.531
 28317155 (2633) module 27, x -6.6675, y   3.89, z 138.531
 26222580 (2425) module 25, x -5.7325, y 3.3675, z 113.531

Track #42, length 13
 54399502 (5199) module 51, x -24.2975, y 32.3525, z 751.531
 52295986 (5001) module 49, x -22.8125, y 30.3725, z 706.531
 50191958 (4796) module 47, x -21.3275, y 28.3925, z 661.531
 48087930 (4598) module 45, x -19.8425, y 26.385, z 616.531
 45972442 (4408) module 43, x -15.8825, y 21.1325, z 497.982
 43630377 (4220) module 41, x -12.6375, y  16.87, z 401.411
 41545319 (4015) module 39, x -10.0525, y 13.4875, z 324.463
 39457177 (3796) module 37, x  -7.99, y 10.7375, z 262.469
 37364141 (3571) module 35, x -7.1375, y   9.61, z 237.469
 35270849 (3342) module 33, x -6.3125, y   8.51, z 212.469
 33177558 (3101) module 31, x -5.4875, y 7.3825, z 187.469
 31084266 (2869) module 29, x -4.6625, y 6.2825, z 162.469
 28990974 (2653) module 27, x -3.8375, y 5.1825, z 137.469

Track #43, length 12
 54392118 (5203) module 51, x -22.5925, y 30.1525, z 751.531
 52288344 (5005) module 49, x -21.1625, y 28.2825, z 706.531
 50184314 (4801) module 47, x -19.705, y 26.4125, z 661.531
 48080796 (4604) module 45, x -18.3025, y 24.5425, z 616.531
 45966324 (4415) module 43, x -14.5625, y 19.7025, z 497.982
 43635262 (4225) module 41, x -11.565, y 15.7425, z 401.411
 41549175 (4018) module 39, x -9.2275, y  12.58, z 324.463
 39460261 (3802) module 37, x -7.3575, y 10.0775, z 262.469
 37366712 (3574) module 35, x -6.5875, y 9.0325, z 237.469
 35272906 (3346) module 33, x -5.845, y 8.0425, z 212.469
 33179356 (3106) module 31, x -5.1025, y  7.025, z 187.469
 31085807 (2872) module 29, x -4.3325, y 6.0075, z 162.469

Track #44, length 12
 53925844 (5207) module 51, x -21.4625, y 1.8725, z 750.469
 51828202 (5009) module 49, x -20.2525, y 1.7625, z 705.469
 49298945 (4805) module 47, x -19.0975, y 1.6625, z 661.531
 47202071 (4608) module 45, x -17.8875, y   1.58, z 616.531
 45106257 (4414) module 43, x -14.6975, y 1.3325, z 497.982
 43010175 (4224) module 41, x -12.1675, y 1.1125, z 402.473
 40913829 (4013) module 39, x -10.0775, y   0.92, z 325.525
