Track #0, length 13

Track #50, length 4
 53132243 (2466) module 50, x -1.3325, y -7.5475, z 738.469
 51034843 (2370) module 48, x -1.2775, y  -7.08, z 693.469
 48937188 (2270) module 46, x -1.195, y -6.6125, z 648.469
 46839788 (2165) module 44, x -1.1125, y -6.1725, z 603.469

Track #51, length 10
 53122573 (2469) module 50, x 0.702499, y -18.4375, z 738.469
 51025696 (2374) module 48, x 0.647499, y -17.3925, z 693.469
 48928564 (2274) module 46, x 0.619999, y -16.2925, z 648.469
 46831687 (2169) module 44, x 0.592499, y -15.22, z 603.469
 44735099 (2073) module 42, x 0.482502, y -12.3875, z 484.921
 42638501 (1976) module 40, x 0.372501, y -10.0775, z 389.411
 40541638 (1869) module 38, x 0.317501, y -8.235, z 312.463
 38444769 (1751) module 36, x 0.262501, y  -6.75, z 250.469
 36347884 (1634) module 34, x 0.2075, y -6.1725, z 225.469
 34250743 (1517) module 32, x 0.2075, y -5.5675, z 200.469

Track #52, length 12
 53248985 (2473) module 50, x 2.1325, y -21.1875, z 739.531
 51151343 (2378) module 48, x 2.0225, y -19.9775, z 694.531
 48922888 (2277) module 46, x 1.8575, y -18.7125, z 648.469
 46826269 (2172) module 44, x   1.72, y -17.53, z 603.469
 44730967 (2075) module 42, x  1.335, y -14.3675, z 484.921
 42635397 (1977) module 40, x  1.005, y -11.8375, z 389.411
 40539818 (1870) module 38, x 0.702499, y -9.8025, z 312.463
 38443464 (1752) module 36, x 0.510002, y -8.1525, z 250.469
 36346836 (1635) module 34, x 0.427502, y -7.4925, z 225.469
 34249952 (1518) module 32, x 0.345001, y -6.8325, z 200.469
 32153324 (1399) module 30, x 0.262501, y -6.1725, z 175.469
 30056440 (1288) module 28, x   0.18, y -5.5125, z 150.469

Track #53, length 4
 53112799 (2477) module 50, x 2.8475, y -6.8875, z 738.469
 51016423 (2382) module 48, x 2.6825, y -6.4475, z 693.469
