Track #0, length 13
 33179860 (1140) module 31, x -4.9925, y 7.4925, z 187.469
 31084511 (1053) module 29, x  -4.58, y 6.8875, z 162.469
 28989418 (966) module 27, x -4.1675, y  6.255, z 137.469
 26894070 (879) module 25, x -3.755, y 5.6225, z 112.469

Track #14, length 7
 54110849 (1882) module 51, x -13.7925, y 12.0575, z 750.469
 52017807 (1805) module 49, x -12.9125, y 11.2875, z 705.469
 49924764 (1734) module 47, x -12.0325, y 10.5725, z 660.469
 47831466 (1662) module 45, x -11.18, y 9.8025, z 615.469
 45744333 (1594) module 43, x  -8.98, y   7.85, z 496.921
 43655659 (1525) module 41, x -7.1375, y 6.2275, z 401.411
 40895221 (1452) module 39, x -5.6775, y 4.9625, z 325.525

Track #15, length 9
 53523302 (1883) module 51, x -13.5425, y -4.7725, z 751.531
 51424883 (1806) module 49, x -12.8275, y -4.4975, z 706.531
 49326720 (1733) module 47, x -12.085, y -4.2775, z 661.531
 47228558 (1661) module 45, x -11.3425, y -4.0575, z 616.531
 45128625 (1592) module 43, x -9.4175, y -3.4525, z 497.982
 43029197 (1522) module 41, x -7.8775, y -2.9575, z 402.473
 40930276 (1448) module 39, x -6.6125, y -2.5725, z 325.525
 38831606 (1371) module 37, x -5.6225, y -2.2425, z 263.531
 36733950 (1295) module 35, x -5.1825, y -2.1325, z 238.531

Track #16, length 9
 53610093 (1884) module 51, x -13.1575, y -23.665, z 751.531
 51506557 (1808) module 49, x -12.2775, y -22.1525, z 706.531
 49402252 (1736) module 47, x -11.4525, y -20.6125, z 661.531
 47297948 (1665) module 45, x -10.5725, y -19.0725, z 616.531
 45181893 (1596) module 43, x -8.3175, y -15.0025, z 497.982
 43069414 (1527) module 41, x -6.5025, y -11.73, z 402.473
 40565439 (1385) module 38, x -4.7975, y -8.6475, z 312.463
 38462693 (1307) module 36, x -3.5875, y  -6.53, z 250.469
 36363509 (1232) module 34, x -3.1475, y -5.6775, z 225.469

Track #17, length 7
 53523310 (1885) module 51, x -13.1025, y -4.7725, z 751.531
 51424637 (1807) module 49, x -12.2775, y -4.4425, z 706.531
 49326219 (1735) module 47, x -11.48, y -4.1675, z 661.531
 47227546 (1664) module 45, x -10.6825, y -3.865, z 616.531
 45126849 (1595) module 43, x -8.5375, y -3.0675, z 497.982
 43026913 (1526) module 41, x -6.7775, y -2.4625, z 402.473
 40927482 (1453) module 39, x -5.4025, y -1.9675, z 325.525

Track #18, length 14
 54346451 (1886) module 51, x -12.7475, y 21.5175, z 751.531
 52246247 (1809) module 49, x -12.0875, y  20.39, z 706.531
 50146044 (1737) module 47, x -11.4275, y 19.2625, z 661.531
 47833363 (1663) module 45, x -10.7675, y 18.1075, z 615.469
