Track #0, length 11
 38799283 (892) module 37, x -9.3075, y 4.6875, z 263.531
 36703681 (827) module 35, x -8.5375, y 4.3575, z 238.531
 34608334 (758) module 33, x -7.8225, y 3.9725, z 213.531
 32512988 (693) module 31, x -7.0525, y 3.5875, z 188.531
 30417641 (632) module 29, x  -6.31, y 3.2025, z 163.531
 28322295 (575) module 27, x -5.5675, y 2.8175, z 138.531

Track #21, length 13
 53920959 (1359) module 51, x -22.6175, y 0.827499, z 750.469
 51823574 (1293) module 49, x -21.325, y 0.772499, z 705.469
 49726190 (1222) module 47, x -20.0325, y 0.717499, z 660.469
 47206406 (1149) module 45, x -18.795, y 0.6725, z 616.531
 45109828 (1079) module 43, x -15.4125, y  0.535, z 497.982
 43013237 (1017) module 41, x -12.6808, y 0.415833, z 402.473
 40916637 (954) module 39, x -10.49, y 0.3425, z 325.525
 38819774 (894) module 37, x -8.7025, y 0.2875, z 263.531
 36722635 (829) module 35, x -7.9875, y   0.26, z 238.531
 34625752 (760) module 33, x -7.2725, y 0.2325, z 213.531
 32528612 (696) module 31, x -6.57583, y 0.214167, z 188.531
 30431729 (635) module 29, x  -5.87, y 0.1775, z 163.531
 28334590 (578) module 27, x -5.155, y 0.1775, z 138.531

Track #22, length 13
 53801427 (1363) module 51, x -21.5175, y -25.05, z 750.469
 51710441 (1297) module 49, x -20.3075, y -23.6475, z 705.469
 49619967 (1225) module 47, x -19.0975, y -22.2175, z 660.469
 47306007 (1151) module 45, x -17.8875, y -20.8325, z 616.531
 45191761 (1081) module 43, x -14.6975, y -17.1475, z 497.982
 43080576 (1019) module 41, x -12.1125, y -14.15, z 402.473
 40972454 (957) module 39, x -10.0225, y -11.7575, z 325.525
 38866116 (896) module 37, x -8.3725, y -9.7775, z 263.531
 36765648 (832) module 35, x -7.685, y  -8.98, z 238.531
 34665181 (762) module 33, x -6.9975, y -8.2375, z 213.531
 32564201 (698) module 31, x -6.3375, y  -7.44, z 188.531
 30463477 (637) module 29, x  -5.65, y -6.6425, z 163.531
 27981817 (527) module 26, x -4.6325, y -5.4575, z 125.469

Track #23, length 4
 53797077 (1364) module 51, x -21.4075, y -26.0125, z 750.469
 51710128 (1289) module 49, x -23.4425, y -23.7025, z 705.469
 49623691 (1217) module 47, x -25.4775, y -21.3925, z 660.469
 47536999 (1139) module 45, x -27.4575, y -19.11, z 615.469

Track #24, length 11
 54088607 (1366) module 51, x -18.5775, y 10.4075, z 750.469
 51996329 (1299) module 49, x -17.5325, y 9.8575, z 705.469
 49904052 (1228) module 47, x -16.4875, y 9.2525, z 660.469
 47811774 (1153) module 45, x -15.4425, y 8.7025, z 615.469
 45727450 (1084) module 43, x -12.6925, y 7.1625, z 496.921
 43640304 (1022) module 41, x -10.52, y 5.9525, z 401.411
 40895165 (961) module 39, x -8.7575, y 4.9625, z 325.525
 38801880 (902) module 37, x -7.2725, y 4.1375, z 263.531
 36706274 (837) module 35, x -6.695, y 3.8075, z 238.531
 34610669 (766) module 33, x -6.1175, y 3.4775, z 213.531
 32515064 (702) module 31, x -5.5125, y 3.1475, z 188.531

Track #25, length 6
 54091704 (1370) module 51, x -17.9175, y 9.0325, z 750.469
 51999683 (1303) module 49, x -16.79, y 8.4275, z 705.469
 49907917 (1230) module 47, x -15.6625, y 7.8775, z 660.469
 47816407 (1157) module 45, x -14.4525, y    7.3, z 615.469
 45733619 (1089) module 43, x -11.345, y 5.7875, z 496.921
 42994106 (1028) module 41, x -8.9225, y 4.5775, z 402.473

Track #26, length 11
 54093984 (1371) module 51, x -17.4225, y 10.3525, z 750.469
 52001451 (1305) module 49, x -16.4325, y 9.7475, z 705.469
 49908661 (1233) module 47, x -15.47, y 9.1975, z 660.469
 47816128 (1155) module 45, x -14.5075, y 8.5925, z 615.469
 45731035 (1085) module 43, x -11.9225, y 7.1075, z 496.921
 43643633 (1023) module 41, x -9.8325, y   5.87, z 401.411
 40895432 (963) module 39, x -8.1525, y 4.9075, z 325.525
 38802145 (903) module 37, x -6.7775, y 4.0825, z 263.531
 36706539 (838) module 35, x -6.2275, y 3.7525, z 238.531
 34610933 (768) module 33, x -5.6775, y 3.4225, z 213.531
 32515327 (703) module 31, x -5.1275, y 3.0925, z 188.531

Track #27, length 10
 54099451 (1372) module 51, x -16.2675, y 5.3475, z 750.469
 51380293 (1306) module 49, x -15.3575, y 5.0725, z 706.531
 49284694 (1234) module 47, x -14.4225, y 4.7425, z 661.531
 47189095 (1159) module 45, x -13.4875, y 4.4125, z 616.531
 45095827 (1090) module 43, x -11.0675, y 3.5875, z 497.982
 43001782 (1025) module 41, x -9.115, y 2.9275, z 402.473
 40906963 (964) module 39, x -7.5475, y 2.4325, z 325.525
 38811626 (905) module 37, x -6.2825, y 2.0475, z 263.531
 36715251 (839) module 35, x -5.7875, y 1.8825, z 238.531
 34618876 (769) module 33, x -5.265, y 1.7175, z 213.531

Track #28, length 9
 53481813 (1375) module 51, x -14.4775, y 4.1375, z 751.531
 51385700 (1308) module 49, x -13.6525, y 3.9175, z 706.531
 49289587 (1236) module 47, x -12.8275, y 3.6975, z 661.531
 47193729 (1161) module 45, x -12.03, y 3.4225, z 616.531
 45099432 (1091) module 43, x -9.885, y 2.8175, z 497.982
 43004360 (1030) module 41, x -8.1525, y   2.35, z 402.473
 40909281 (968) module 39, x  -6.75, y 1.9375, z 325.525
 38813430 (906) module 37, x -5.6225, y  1.635, z 263.531
 36717054 (840) module 35, x -5.1825, y 1.4975, z 238.531

Track #29, length 4
 53512533 (1376) module 51, x -14.45, y -2.4625, z 751.531
 51414374 (1310) module 49, x -13.5425, y -2.2425, z 706.531
 49316471 (1238) module 47, x -12.6075, y -2.0775, z 661.531
 47218823 (1163) module 45, x -11.7275, y -1.9675, z 616.531

Track #30, length 4
 53512799 (1377) module 51, x -13.9275, y -2.5175, z 751.531
 51414893 (1311) module 49, x -13.1575, y -2.3525, z 706.531
 49316988 (1239) module 47, x -12.3325, y -2.1875, z 661.531
 47219338 (1164) module 45, x -11.5625, y -2.0775, z 616.531

Track #31, length 10
 53576315 (1379) module 51, x -12.3875, y -16.2675, z 751.531
 51475080 (1313) module 49, x -11.6725, y -15.3875, z 706.531
 49373589 (1241) module 47, x -10.9575, y -14.4525, z 661.531
 47272098 (1166) module 45, x -10.2425, y -13.545, z 616.531
 45163972 (1094) module 43, x -8.3725, y -11.1525, z 497.982
 43057630 (1032) module 41, x -6.90583, y -9.20917, z 402.473
 40953844 (970) module 39, x -5.7325, y -7.6325, z 325.525
 38467309 (850) module 36, x -4.5775, y -6.1175, z 250.469
 36368374 (779) module 34, x -4.1925, y -5.6225, z 225.469
 34269439 (710) module 32, x -3.8075, y -5.1275, z 200.469

Track #32, length 5
 53504424 (1381) module 51, x -9.9125, y -0.7025, z 751.531
 51407027 (1315) module 49, x  -9.28, y -0.6475, z 706.531
 49309631 (1244) module 47, x -8.6475, y -0.5925, z 661.531
 47212491 (1169) module 45, x -7.9875, y -0.5925, z 616.531
 45114602 (1096) module 43, x -6.2825, y -0.455, z 497.982

Track #33, length 5
 54133166 (1383) module 51, x -8.8975, y 9.5825, z 750.469
 52038585 (1317) module 49, x -8.3475, y 8.9775, z 705.469
 49944260 (1246) module 47, x -7.7425, y  8.345, z 660.469
 47849680 (1172) module 45, x -7.1925, y 7.7125, z 615.469
 45759726 (1100) module 43, x -5.6525, y 6.0625, z 496.921

Track #34, length 5
 53532095 (1385) module 51, x -8.62917, y -6.66083, z 751.531
 51433416 (1319) module 49, x -8.1525, y -6.3125, z 706.531
 49334481 (1248) module 47, x -7.6575, y -5.9275, z 661.531
 47235546 (1173) module 45, x -7.1625, y -5.5425, z 616.531
 45134065 (1099) module 43, x -5.8975, y -4.6075, z 497.982

Track #35, length 9
 53575373 (1387) module 51, x -7.8775, y -16.0475, z 751.531
 51474133 (1321) module 49, x -7.4375, y -15.1675, z 706.531
 49372637 (1249) module 47, x -6.9975, y -14.26, z 661.531
 47271397 (1174) module 45, x -6.5575, y -13.3525, z 616.531
 45163258 (1101) module 43, x -5.4025, y -10.9875, z 497.982
 42660284 (976) module 40, x -4.3025, y -8.8125, z 389.411
 40559576 (915) module 38, x -3.5325, y -7.2725, z 312.463
 38459631 (851) module 36, x -2.9275, y -6.0075, z 250.469
 36361208 (781) module 34, x  -2.68, y -5.5125, z 225.469

Track #36, length 5
 53516497 (1389) module 51, x -7.6575, y -3.2875, z 751.531
 51418584 (1323) module 49, x -7.245, y -3.1225, z 706.531
 49320416 (1252) module 47, x -6.8325, y  -2.93, z 661.531
 47222504 (1177) module 45, x -6.3925, y -2.7375, z 616.531
 45123069 (1103) module 43, x -5.2375, y -2.2425, z 497.982

Track #37, length 12
 54315480 (1391) module 51, x -5.9825, y 21.2425, z 751.531
 52216814 (1325) module 49, x -5.6525, y 20.0325, z 706.531
 49955334 (1254) module 47, x -5.3225, y 18.8225, z 660.469
 47859740 (1179) module 45, x -4.9925, y 17.6125, z 615.469
 45766997 (1105) module 43, x -4.0575, y 14.4775, z 496.921
 43673219 (1034) module 41, x -3.315, y 11.9475, z 401.411
 41578920 (971) module 39, x -2.7375, y  9.885, z 324.463
 39484103 (911) module 37, x -2.2425, y 8.2075, z 262.469
 37387731 (843) module 35, x  -2.05, y 7.5475, z 237.469
 35291615 (773) module 33, x -1.8575, y 6.8875, z 212.469
 33195243 (706) module 31, x -1.6925, y 6.2275, z 187.469
 31098871 (641) module 29, x   -1.5, y 5.5675, z 162.469

Track #38, length 7
 54163090 (1394) module 51, x -2.4625, y 11.1225, z 750.469
 52066461 (1328) module 49, x -2.3525, y 10.5175, z 705.469
 49969832 (1256) module 47, x -2.2425, y 9.9125, z 660.469
 47873204 (1182) module 45, x -2.1325, y 9.2525, z 615.469
 45777362 (1107) module 43, x -1.8575, y 7.6025, z 496.921
 43681514 (1035) module 41, x -1.5825, y 6.2825, z 401.411
 41585405 (972) module 39, x -1.3625, y   5.21, z 324.463

Track #39, length 10
 52559339 (1332) module 50, x 6.2275, y 23.0325, z 739.531
 50455027 (1259) module 48, x 5.7875, y 21.4925, z 694.531
 48350714 (1186) module 46, x 5.4025, y 19.9525, z 649.531
 47906566 (1184) module 45, x 5.0725, y 18.8225, z 615.469
 45804367 (1110) module 43, x      4, y 14.8075, z 496.921
 43703178 (1038) module 41, x   3.12, y 11.5625, z 401.411
 41602745 (975) module 39, x 2.3775, y 8.9775, z 324.463
 39503071 (913) module 37, x 1.8275, y   6.86, z 262.469
 37404911 (846) module 35, x 1.6075, y 6.0075, z 237.469
 35306750 (775) module 33, x 1.3875, y 5.1825, z 212.469

Track #40, length 6
 53100451 (1331) module 50, x 5.4875, y -10.1875, z 738.469
 51004846 (1258) module 48, x 5.1575, y -9.5825, z 693.469
 48909240 (1185) module 46, x 4.8275, y -9.005, z 648.469
 46813379 (1111) module 44, x  4.525, y -8.4275, z 603.469
 44720095 (1040) module 42, x 3.7275, y -6.8875, z 484.921
 42626037 (978) module 40, x 3.0675, y -5.6775, z 389.411

Track #41, length 6
 53086896 (1334) module 50, x 8.4025, y -9.4725, z 738.469
 50991802 (1262) module 48, x  7.935, y -8.9225, z 693.469
 48896964 (1189) module 46, x 7.4675, y -8.3725, z 648.469
 46802126 (1114) module 44, x 6.9725, y -7.8225, z 603.469
 44710887 (1042) module 42, x 5.7075, y  -6.42, z 484.921
 42618364 (980) module 40, x 4.7175, y -5.265, z 389.411

Track #42, length 7
 53078363 (1336) module 50, x 10.3275, y -14.12, z 738.469
 50984301 (1264) module 48, x 9.6675, y -13.1575, z 693.469
 48889982 (1191) module 46, x   8.98, y -12.2225, z 648.469
 46795919 (1116) module 44, x 8.2925, y -11.26, z 603.469
 44707260 (1043) module 42, x 6.4775, y -8.785, z 484.921
 42617056 (981) module 40, x 4.9925, y -6.8325, z 389.411
 40525309 (918) module 38, x 3.8375, y -5.2375, z 312.463

Track #43, length 6
 52507772 (1338) module 50, x 12.3325, y 11.9775, z 739.531
 50406794 (1266) module 48, x 11.5625, y  11.18, z 694.531
 48306072 (1193) module 46, x 10.765, y 10.3825, z 649.531
 46205095 (1120) module 44, x 9.9675, y 9.5575, z 604.531
 44098510 (1045) module 42, x 7.8225, y 7.4125, z 485.982
 41993454 (983) module 40, x 6.0625, y 5.7075, z 390.473

Track #44, length 6
 52492646 (1339) module 50, x 13.5425, y 8.6225, z 739.531
 50393205 (1268) module 48, x  12.69, y 8.1275, z 694.531
 48294278 (1195) module 46, x 11.7825, y 7.7425, z 649.531
 46194838 (1122) module 44, x 10.9025, y 7.2475, z 604.531
 44091075 (1047) module 42, x 8.4275, y 5.8175, z 485.982
 41988581 (985) module 40, x 6.5575, y 4.6625, z 390.473

Track #45, length 9
 52442941 (1342) module 50, x 15.7975, y -2.0475, z 739.531
 50346318 (1270) module 48, x 14.8625, y -1.9375, z 694.531
 48249694 (1198) module 46, x 13.9825, y -1.8275, z 649.531
 46153070 (1124) module 44, x 13.075, y -1.7175, z 604.531
 44057497 (1051) module 42, x  10.71, y -1.3875, z 485.982
 41961660 (989) module 40, x 8.8125, y -1.1125, z 390.473
 39865304 (920) module 38, x 7.2725, y -0.9475, z 313.525
 37768943 (856) module 36, x 6.0075, y -0.7825, z 251.531
 35672056 (786) module 34, x 5.5125, y -0.7275, z 226.531

Track #46, length 4
 53002462 (1346) module 50, x 26.7725, y -6.9425, z 738.469
 50760945 (1271) module 48, x 19.8675, y  2.225, z 693.469
 48309613 (1196) module 46, x 13.1208, y 11.1708, z 649.531
 46255338 (1112) module 44, x  6.255, y 20.3375, z 604.531

Track #47, length 7
 52827449 (1347) module 50, x  29.96, y 8.7975, z 738.469
 50732895 (1275) module 48, x 27.8975, y   8.22, z 693.469
 48638597 (1203) module 46, x  25.78, y 7.6425, z 648.469
 46544043 (1129) module 44, x  23.69, y 7.0925, z 603.469
 44089873 (1058) module 42, x 18.2175, y 5.5975, z 485.982
 41987169 (993) module 40, x 13.8175, y 4.3875, z 390.473
 39885474 (926) module 38, x 10.2425, y  3.425, z 313.525

Track #48, length 15
 53382404 (1348) module 50, x 31.0625, y -32.9025, z 739.531
 51277094 (1277) module 48, x 29.3025, y -31.0325, z 694.531
 49171784 (1205) module 46, x 27.5425, y -29.1625, z 649.531
 47066218 (1131) module 44, x 25.7275, y -27.2925, z 604.531
 44947909 (1062) module 42, x 21.0525, y -22.2875, z 485.982
 42560274 (1000) module 40, x 17.2575, y -18.1625, z 389.411
 40476747 (935) module 38, x 14.315, y -15.0275, z 312.463
 38390905 (868) module 36, x 11.9225, y -12.4975, z 250.469
 36298380 (799) module 34, x 10.9325, y -11.4525, z 225.469
 34205855 (725) module 32, x 9.9425, y -10.4075, z 200.469
 32112818 (660) module 30, x   8.98, y -9.3625, z 175.469
 30020293 (595) module 28, x 7.9625, y -8.3175, z 150.469
