Track #0, length 14
 43020431 (2986) module 41, x -11.2875, y -1.0875, z 402.473
 40922294 (2851) module 39, x -9.12417, y -0.904167, z 325.525
 38824406 (2719) module 37, x -7.3825, y -0.739167, z 263.531
 36727011 (2574) module 35, x -6.6675, y -0.684166, z 238.531
 34629617 (2435) module 33, x -5.8975, y -0.5925, z 213.531
 32532222 (2288) module 31, x -5.1825, y -0.5375, z 188.531

Track #32, length 11
 54381504 (3680) module 51, x -20.2825, y 22.5625, z 751.531
 52278745 (3549) module 49, x  -19.1, y 21.1875, z 706.531
 50176242 (3412) module 47, x -17.9175, y 19.785, z 661.531
 47805710 (3269) module 45, x -16.68, y 18.3825, z 615.469
 45723471 (3132) module 43, x -13.5175, y 14.8075, z 496.921
 43638148 (2987) module 41, x -10.96, y 11.8925, z 401.411
 41549998 (2852) module 39, x  -8.98, y  9.555, z 324.463
 39460560 (2722) module 37, x -7.275, y 7.7125, z 262.469
 37366750 (2575) module 35, x -6.5875, y 6.9425, z 237.469
 35272684 (2434) module 33, x   -5.9, y 6.1725, z 212.469
 33178873 (2287) module 31, x -5.2125, y 5.4575, z 187.469

Track #33, length 11
 53479171 (3683) module 51, x -18.9875, y 4.6875, z 751.531
 51383319 (3551) module 49, x -17.8875, y 4.4125, z 706.531
 49287467 (3414) module 47, x -16.7875, y 4.1375, z 661.531
 47191615 (3271) module 45, x -15.6875, y 3.8625, z 616.531
 45097587 (3133) module 43, x -12.8092, y 3.18417, z 497.982
 43003038 (2990) module 41, x -10.4625, y  2.625, z 402.473
 40908224 (2854) module 39, x -8.5925, y 2.1575, z 325.525
 38812892 (2724) module 37, x -7.0525, y 1.7725, z 263.531
 36716263 (2577) module 35, x -6.4475, y  1.635, z 238.531
 34619890 (2436) module 33, x -5.8425, y 1.4975, z 213.531
 32523517 (2286) module 31, x -5.2375, y 1.3325, z 188.531

Track #34, length 10
 54087673 (3685) module 51, x -18.7975, y 5.4575, z 750.469
 51995647 (3553) module 49, x -17.6975, y 5.1275, z 705.469
 49284399 (3416) module 47, x -16.5675, y 4.7975, z 661.531
 47188803 (3273) module 45, x -15.4675, y 4.4675, z 616.531
 45095802 (3136) module 43, x -12.4425, y 3.5875, z 497.982
 43001765 (2993) module 41, x -10.0775, y 2.9275, z 402.473
 40907208 (2857) module 39, x -8.1525, y   2.35, z 325.525
 38812389 (2728) module 37, x -6.5575, y 1.8825, z 263.531
 36716016 (2580) module 35, x -5.9525, y 1.7175, z 238.531
 34619643 (2441) module 33, x  -5.32, y 1.5525, z 213.531

Track #35, length 6
 53487401 (3686) module 51, x -16.8975, y    2.9, z 751.531
 51391799 (3554) module 49, x -16.1275, y 2.5975, z 706.531
 49295942 (3417) module 47, x -15.3025, y 2.3225, z 661.531
 47200085 (3274) module 45, x -14.4775, y 2.0475, z 616.531
 45106555 (3137) module 43, x -12.36, y 1.2775, z 497.982
 43012251 (2989) module 41, x -10.6275, y 0.6725, z 402.473

Track #36, length 9
 54102966 (3689) module 51, x -15.4792, y 9.12417, z 750.469
 52010176 (3558) module 49, x -14.5625, y  8.565, z 705.469
 49917130 (3421) module 47, x -13.6825, y 8.0425, z 660.469
 47824084 (3278) module 45, x -12.8025, y 7.4925, z 615.469
 45738222 (3141) module 43, x -10.3825, y 6.0625, z 496.921
 42992578 (2998) module 41, x -8.4825, y 4.9075, z 402.473
 40899551 (2862) module 39, x -6.8875, y      4, z 325.525
 38806006 (2733) module 37, x -5.6225, y 3.2575, z 263.531
 36710143 (2586) module 35, x -5.1275, y 2.9825, z 238.531

Track #37, length 7
 53512032 (3690) module 51, x -13.8725, y -2.3525, z 751.531
 51414127 (3560) module 49, x -13.0475, y -2.215, z 706.531
 49316478 (3422) module 47, x -12.2225, y -2.0775, z 661.531
 47218573 (3279) module 45, x -11.3975, y  -1.94, z 616.531
 45119924 (3143) module 43, x -9.2525, y -1.5825, z 497.982
 43021523 (2999) module 41, x -7.5475, y -1.3075, z 402.473
 40923116 (2864) module 39, x -6.145, y -1.0325, z 325.525

Track #38, length 5
 53542517 (3691) module 51, x -12.7175, y -8.8975, z 751.531
 51441798 (3562) module 49, x -11.7825, y -8.1275, z 706.531
 49341333 (3424) module 47, x -10.93, y -7.4125, z 661.531
 47241381 (3282) module 45, x -10.0775, y -6.8075, z 616.531
 45138386 (3149) module 43, x -7.6025, y  -5.57, z 497.982

Track #39, length 12
 54337254 (3697) module 51, x -10.7675, y 20.4725, z 751.531
 52237051 (3567) module 49, x -10.1075, y 19.3175, z 706.531
 49936402 (3430) module 47, x -9.5025, y 18.1625, z 660.469
 47841575 (3288) module 45, x -8.8975, y 17.0075, z 615.469
 45751902 (3151) module 43, x -7.3025, y 13.9825, z 496.921
 43660938 (3005) module 41, x -5.9825, y 11.5625, z 401.411
 41568430 (2869) module 39, x -4.965, y 9.5825, z 324.463
 39475405 (2736) module 37, x -4.1125, y 7.8775, z 262.469
 37379801 (2589) module 35, x -3.7825, y 7.2175, z 237.469
 35284453 (2447) module 33, x -3.3975, y 6.5575, z 212.469
 33188849 (2293) module 31, x -3.0675, y   5.87, z 187.469
 31093246 (2130) module 29, x  -2.71, y 5.1825, z 162.469

Track #40, length 7
 54126961 (3698) module 51, x -10.3275, y 12.9375, z 750.469
 52032896 (3568) module 49, x -9.6675, y 12.1125, z 705.469
 49938575 (3431) module 47, x  -8.98, y 11.2875, z 660.469
 47843998 (3289) module 45, x -8.375, y 10.4625, z 615.469
 45755077 (3152) module 43, x -6.6425, y   8.29, z 496.921
 43664357 (3008) module 41, x -5.2675, y 6.5575, z 401.411
 41572351 (2870) module 39, x  -4.14, y 5.1275, z 324.463

Track #41, length 11
 53597612 (3700) module 51, x -9.6925, y -20.8325, z 751.531
 51494839 (3570) module 49, x -9.0875, y -19.6225, z 706.531
 49392065 (3434) module 47, x -8.5375, y -18.4125, z 661.531
 47289291 (3290) module 45, x -7.9875, y -17.2025, z 616.531
 45177062 (3153) module 43, x -6.48417, y -13.9942, z 497.982
 43068156 (3007) module 41, x -5.2925, y -11.4275, z 402.473
 40562616 (2755) module 38, x -4.1925, y -9.005, z 312.463
 38461911 (2608) module 36, x -3.4225, y -7.3275, z 250.469
 36363235 (2462) module 34, x  -3.12, y -6.6675, z 225.469
 34264815 (2309) module 32, x -2.8175, y -6.0075, z 200.469
 32166139 (2145) module 30, x -2.4875, y -5.3475, z 175.469

Track #42, length 6
 53552067 (3702) module 51, x   -8.4, y -11.0425, z 751.531
 51451597 (3573) module 49, x -7.8775, y -10.355, z 706.531
 49351382 (3437) module 47, x -7.3825, y -9.695, z 661.531
 47251423 (3294) module 45, x -6.8875, y -9.035, z 616.531
 45146615 (3157) module 43, x -5.5675, y -7.3025, z 497.982
 42660596 (2900) module 40, x -4.3575, y -5.705, z 389.411

Track #43, length 5
 53490385 (3706) module 51, x -7.6575, y 2.3225, z 751.531
 51393752 (3576) module 49, x -7.245, y 2.2125, z 706.531
 49297376 (3438) module 47, x -6.8325, y 2.0475, z 661.531
 47200744 (3295) module 45, x -6.3925, y 1.9375, z 616.531
 45105150 (3158) module 43, x -5.1825, y   1.58, z 497.982

Track #44, length 12
 54322057 (3707) module 51, x -7.4125, y  25.56, z 751.531
 52223141 (3577) module 49, x -7.0275, y  24.02, z 706.531
 50123969 (3440) module 47, x -6.5875, y  22.48, z 661.531
 48024797 (3296) module 45, x -6.175, y 20.9675, z 616.531
 45761834 (3159) module 43, x  -5.13, y 16.8425, z 496.921
 43668581 (3011) module 41, x -4.3325, y 13.5975, z 401.411
 41574548 (2871) module 39, x -3.6725, y 11.0125, z 324.463
 39479992 (2737) module 37, x -3.095, y 9.0325, z 262.469
 37384134 (2590) module 35, x  -2.82, y  8.235, z 237.469
 35288533 (2448) module 33, x -2.5175, y 7.4375, z 212.469
 33192676 (2294) module 31, x -2.2425, y 6.6125, z 187.469
 31096819 (2131) module 29, x -1.9675, y 5.7875, z 162.469

Track #45, length 4
 53512676 (3712) module 51, x -6.6125, y -2.4625, z 751.531
 51414764 (3581) module 49, x -6.1725, y -2.2975, z 706.531
 49316851 (3444) module 47, x  -5.76, y -2.1325, z 661.531
 47218939 (3302) module 45, x -5.3475, y -1.9675, z 616.531

Track #46, length 4
 54153672 (3719) module 51, x  -4.47, y  8.125, z 750.469
 52057552 (3587) module 49, x  -4.25, y 7.7125, z 705.469
 49961688 (3449) module 47, x -4.0025, y 7.2725, z 660.469
 47865567 (3304) module 45, x -3.7825, y   6.86, z 615.469

Track #47, length 5
 54167872 (3727) module 51, x -1.4175, y 15.6325, z 750.469
 52071505 (3594) module 49, x -1.2525, y 14.6975, z 705.469
 49974882 (3456) module 47, x -1.1425, y 13.7625, z 660.469
 47878258 (3313) module 45, x -1.0325, y 12.855, z 615.469
 45782176 (3169) module 43, x -0.8125, y 10.325, z 496.921

Track #48, length 9
 54287093 (3729) module 51, x 0.1225, y 19.6475, z 751.531
 52077838 (3597) module 49, x 0.122498, y 18.3825, z 705.469
