Track #0, length 13
 40564698 (2109) module 38, x -4.6325, y -7.135, z 312.463
 38462965 (1987) module 36, x -3.66083, y -5.65917, z 250.469

Track #18, length 6
 54130179 (2862) module 51, x -9.585, y 18.9875, z 750.469
 52035352 (2755) module 49, x  -9.09, y 17.8325, z 705.469
 49939757 (2643) module 47, x  -8.65, y 16.6775, z 660.469
 47844930 (2535) module 45, x -8.1825, y 15.5225, z 615.469
 45754231 (2423) module 43, x  -6.78, y 12.6075, z 496.921
 43662496 (2320) module 41, x -5.6525, y 10.325, z 401.411

Track #19, length 8
 54133822 (2863) module 51, x -8.7325, y 15.7425, z 750.469
 52038991 (2756) module 49, x -8.2375, y 14.8075, z 705.469
 49944160 (2645) module 47, x -7.7425, y 13.8725, z 660.469
 47849329 (2536) module 45, x -7.2475, y 12.9375, z 615.469
 45758367 (2424) module 43, x   -5.9, y 10.4075, z 496.921
 43666627 (2321) module 41, x -4.7725, y    8.4, z 401.411
 41573601 (2210) module 39, x -3.8925, y 6.7775, z 324.463
 39480056 (2095) module 37, x -3.1225, y  5.485, z 262.469

Track #20, length 5
 53500099 (2864) module 51, x -8.4275, y 0.2325, z 751.531
 51403212 (2757) module 49, x -7.905, y 0.1775, z 706.531
 49306070 (2646) module 47, x -7.3825, y 0.1775, z 661.531
 47208927 (2537) module 45, x -6.8875, y 0.1775, z 616.531
 45112055 (2425) module 43, x  -5.54, y 0.1225, z 497.982

Track #21, length 5
 54137542 (2865) module 51, x -7.9625, y  8.235, z 750.469
 52042703 (2758) module 49, x -7.4675, y 7.7675, z 705.469
 49947608 (2647) module 47, x -7.0275, y 7.2725, z 660.469
 47852768 (2539) module 45, x -6.5325, y  6.805, z 615.469
 45761271 (2428) module 43, x -5.295, y 5.5675, z 496.921

Track #22, length 5
 54137855 (2866) module 51, x -7.9075, y 5.1275, z 750.469
 51381461 (2759) module 49, x -7.4375, y 4.8525, z 706.531
 49285597 (2648) module 47, x -6.9975, y 4.5775, z 661.531
 47189733 (2538) module 45, x -6.5575, y  4.275, z 616.531
 45096442 (2427) module 43, x -5.375, y 3.4775, z 497.982

Track #23, length 12
 53635801 (2867) module 51, x -7.2175, y -29.1375, z 751.531
 51530722 (2760) module 49, x -6.7225, y -27.4325, z 706.531
 49425386 (2649) module 47, x -6.2825, y  -25.7, z 661.531
 47320306 (2540) module 45, x -5.8425, y -23.9675, z 616.531
 44758277 (2335) module 42, x -4.5225, y -18.85, z 484.921
 42656840 (2227) module 40, x -3.5875, y -15.165, z 389.411
 40556415 (2112) module 38, x -2.8725, y -12.1675, z 312.463
 38456491 (1989) module 36, x -2.2675, y -9.7475, z 250.469
 36358333 (1866) module 34, x -2.0475, y -8.7575, z 225.469
 34260175 (1746) module 32, x -1.8275, y -7.7675, z 200.469
 32161761 (1625) module 30, x  -1.58, y -6.7775, z 175.469
 30063602 (1505) module 28, x -1.3325, y -5.815, z 150.469

Track #24, length 4
 53520092 (2868) module 51, x -7.0525, y -4.085, z 751.531
 51421924 (2761) module 49, x -6.6125, y -3.8375, z 706.531
 49323499 (2650) module 47, x -6.20917, y -3.59917, z 661.531
