Track #0, length 17
 38822631 (2306) module 37, x -6.4475, y -0.3175, z 263.531
 36725488 (2128) module 35, x -5.925, y -0.3175, z 238.531
 34628090 (1948) module 33, x -5.4025, y -0.2625, z 213.531

Track #26, length 11
 53571862 (3448) module 51, x -17.9425, y -15.3325, z 751.531
 51470633 (3299) module 49, x -16.8975, y -14.4525, z 706.531
 49369659 (3155) module 47, x -15.9075, y -13.6275, z 661.531
 47268429 (2999) module 45, x -14.89, y -12.7475, z 616.531
 45160574 (2831) module 43, x -12.2225, y -10.4375, z 497.982
 43055525 (2656) module 41, x -10.0775, y -8.6225, z 402.473
 40951492 (2487) module 39, x -8.3725, y -7.1375, z 325.525
 38848989 (2300) module 37, x -6.9975, y -5.9825, z 263.531
 36749543 (2123) module 35, x  -6.42, y -5.4875, z 238.531
 34650098 (1943) module 33, x -5.8425, y  -5.02, z 213.531
 32550908 (1776) module 31, x -5.2925, y -4.5525, z 188.531

Track #27, length 11
 53501210 (3449) module 51, x -17.7225, y -0.0700002, z 751.531
 51404075 (3300) module 49, x -16.7508, y -0.0608335, z 706.531
 49306941 (3156) module 47, x -15.77, y -0.0425, z 661.531
 47209807 (3001) module 45, x -14.7708, y -0.0608335, z 616.531
 45112703 (2832) module 43, x -12.1675, y -0.0425, z 497.982
 43015589 (2657) module 41, x -10.0775, y -0.0425, z 402.473
 40918468 (2486) module 39, x -8.3725, y -0.0425, z 325.525
 38821341 (2301) module 37, x  -6.97, y -0.0425, z 263.531
 36724200 (2125) module 35, x -6.3925, y -0.0425, z 238.531
 34627058 (1944) module 33, x -5.8425, y -0.0425, z 213.531
 32529916 (1775) module 31, x -5.2925, y -0.0425, z 188.531

Track #28, length 10
 53522981 (3450) module 51, x -17.1175, y -4.7175, z 751.531
 51424822 (3301) module 49, x -16.1825, y -4.4975, z 706.531
 49326408 (3157) module 47, x -15.1925, y -4.2225, z 661.531
 47227993 (3002) module 45, x -14.2575, y -3.975, z 616.531
 45127815 (2835) module 43, x -11.7275, y -3.2875, z 497.982
 43028140 (2660) module 41, x -9.6925, y -2.7375, z 402.473
 40928970 (2489) module 39, x -8.0425, y -2.2975, z 325.525
 38830051 (2303) module 37, x -6.6675, y -1.9125, z 263.531
 36732396 (2127) module 35, x -6.145, y -1.8025, z 238.531
 34634486 (1946) module 33, x -5.6225, y -1.6375, z 213.531

Track #29, length 10
 53575254 (3451) module 51, x -14.395, y -16.0475, z 751.531
 51474021 (3303) module 49, x -13.5975, y -15.1675, z 706.531
 49372532 (3158) module 47, x -12.7725, y -14.26, z 661.531
 47271299 (3003) module 45, x -11.9475, y -13.3525, z 616.531
 45163178 (2838) module 43, x -9.8025, y -10.9875, z 497.982
 43057353 (2665) module 41, x -8.0975, y  -9.09, z 402.473
 40953314 (2495) module 39, x -6.7225, y -7.5225, z 325.525
 38850294 (2309) module 37, x -5.595, y -6.2575, z 263.531
 36750847 (2130) module 35, x -5.1275, y -5.7625, z 238.531
 36371704 (1972) module 34, x -4.9075, y -5.5125, z 225.469

Track #30, length 9
 53568614 (3453) module 51, x -13.5425, y -14.6175, z 751.531
 51467636 (3304) module 49, x -12.7725, y -13.7925, z 706.531
 49366658 (3159) module 47, x -12.0025, y -12.9675, z 661.531
 47265424 (3004) module 45, x -11.2325, y -12.0875, z 616.531
 45158069 (2839) module 43, x -9.1975, y -9.8875, z 497.982
 43053522 (2666) module 41, x -7.6025, y -8.1825, z 402.473
 40949737 (2497) module 39, x  -6.31, y -6.7525, z 325.525
 38847228 (2311) module 37, x -5.2925, y -5.625, z 263.531
 38469626 (2151) module 36, x -5.0725, y -5.4025, z 250.469

Track #31, length 8
 53560941 (3454) module 51, x -13.1575, y -12.9675, z 751.531
 51460218 (3305) module 49, x -12.4242, y -12.2158, z 706.531
 49359752 (3160) module 47, x -11.6725, y -11.4825, z 661.531
 47259285 (3005) module 45, x -10.9575, y -10.7675, z 616.531
 45153720 (2840) module 43, x -9.0325, y -8.8425, z 497.982
 43049429 (2667) module 41, x -7.4375, y -7.3025, z 402.473
 40946412 (2498) module 39, x -6.1725, y -6.0375, z 325.525
 38844670 (2312) module 37, x -5.1825, y -5.0475, z 263.531

Track #32, length 7
 54115771 (3455) module 51, x -12.7475, y 8.8675, z 750.469
 52022212 (3307) module 49, x -11.9775, y 8.3725, z 705.469
 49928398 (3161) module 47, x -11.2625, y 7.8225, z 660.469
 47834583 (3006) module 45, x -10.5475, y 7.3275, z 615.469
 45746159 (2841) module 43, x -8.5675, y   5.98, z 496.921
 42992604 (2669) module 41, x -7.0525, y 4.9075, z 402.473
 40899571 (2501) module 39, x -5.7875, y      4, z 325.525

Track #33, length 7
 53565307 (3456) module 51, x -12.3875, y -13.9025, z 751.531
 51464072 (3309) module 49, x -11.645, y -13.0225, z 706.531
 49363094 (3162) module 47, x -10.9025, y -12.1975, z 661.531
 47261859 (3007) module 45, x -10.1875, y -11.3175, z 616.531
 45154758 (2844) module 43, x -8.2625, y -9.1725, z 497.982
 43049954 (2672) module 41, x -6.695, y -7.4125, z 402.473
 40946425 (2502) module 39, x -5.4575, y -6.0375, z 325.525

Track #34, length 7
 54119112 (3457) module 51, x -12.0325, y 8.1525, z 750.469
 52025040 (3310) module 49, x -11.3725, y 7.7125, z 705.469
 49930712 (3163) module 47, x -10.7675, y 7.2725, z 660.469
 47836640 (3008) module 45, x -10.1075, y 6.8325, z 615.469
 45746933 (2842) module 43, x -8.4025, y 5.6775, z 496.921
 42993372 (2668) module 41, x -7.0525, y 4.7425, z 402.473
 40899568 (2499) module 39, x -5.9525, y      4, z 325.525

Track #35, length 10
 53573250 (3458) module 51, x -12.0025, y -15.6075, z 751.531
 51472269 (3311) module 49, x -11.37, y -14.81, z 706.531
 49371289 (3164) module 47, x -10.7375, y -13.985, z 661.531
 47270565 (3009) module 45, x -10.0775, y -13.1875, z 616.531
 45163204 (2843) module 43, x -8.3725, y -10.9875, z 497.982
 43057629 (2670) module 41, x -6.9975, y   -9.2, z 402.473
 40954353 (2500) module 39, x  -5.87, y -7.7425, z 325.525
 38468328 (2152) module 36, x -4.7975, y -6.365, z 250.469
 36369393 (1973) module 34, x  -4.44, y -5.8975, z 225.469
 34270713 (1795) module 32, x -4.0825, y  -5.43, z 200.469

Track #36, length 14
 53616271 (3460) module 51, x -11.26, y -24.9575, z 751.531
 51512731 (3312) module 49, x -10.6275, y -23.5825, z 706.531
 49409446 (3166) module 47, x -9.995, y -22.1525, z 661.531
 47305650 (3010) module 45, x -9.3625, y -20.7225, z 616.531
 45191120 (2846) module 43, x -7.7125, y -16.9825, z 497.982
 43080169 (2675) module 41, x -6.3375, y -14.0125, z 402.473
 40972029 (2504) module 39, x -5.2375, y -11.6475, z 325.525
 40566672 (2333) module 38, x -5.0725, y -11.2325, z 312.463
 38465459 (2154) module 36, x -4.1925, y -9.3075, z 250.469
 36366529 (1976) module 34, x -3.835, y -8.5375, z 225.469
 34267855 (1797) module 32, x -3.4775, y -7.7675, z 200.469
 32169181 (1628) module 30, x -3.1475, y  -6.97, z 175.469
 30070252 (1482) module 28, x  -2.79, y -6.1725, z 150.469
 27971578 (1329) module 26, x -2.4325, y -5.4025, z 125.469

Track #37, length 6
 53524385 (3461) module 51, x -10.2975, y -4.9925, z 751.531
 51425708 (3314) module 49, x -9.6925, y  -4.69, z 706.531
 49327287 (3169) module 47, x -9.0875, y -4.3875, z 661.531
 47228866 (3012) module 45, x -8.455, y -4.1125, z 616.531
 45128160 (2848) module 43, x -6.8325, y -3.3425, z 497.982
 43028215 (2677) module 41, x -5.5675, y -2.7375, z 402.473

Track #38, length 6
 53514918 (3463) module 51, x -10.0225, y -2.9575, z 751.531
 51417008 (3315) module 49, x -9.445, y -2.7925, z 706.531
 49319099 (3170) module 47, x -8.8675, y -2.6275, z 661.531
 47221189 (3013) module 45, x -8.3175, y -2.4625, z 616.531
 45122016 (2847) module 43, x -6.8325, y -2.0225, z 497.982
 43023350 (2676) module 41, x -5.6225, y -1.6925, z 402.473

Track #39, length 6
 54129049 (3464) module 51, x  -9.86, y 10.7375, z 750.469
 52034724 (3316) module 49, x -9.2825, y 10.1325, z 705.469
