Track #0, length 12
 45746704 (1991) module 43, x -8.4025, y 18.2725, z 496.921
 43658071 (1902) module 41, x -6.5875, y 14.3675, z 401.411
 41567633 (1803) module 39, x -5.1575, y 11.1775, z 324.463
 39476159 (1700) module 37, x -3.9475, y   8.62, z 262.469
 37381074 (1602) module 35, x -3.5075, y 7.6025, z 237.469
 35286245 (1509) module 33, x -3.0125, y 6.5575, z 212.469
 33191160 (1416) module 31, x -2.5725, y 5.5125, z 187.469

Track #15, length 7
 54116475 (2328) module 51, x -12.5825, y 12.3875, z 750.469
 52022921 (2244) module 49, x -11.8125, y 11.6175, z 705.469
 49929111 (2160) module 47, x -11.0975, y 10.8475, z 660.469
 47835556 (2082) module 45, x -10.3275, y 10.105, z 615.469
 45747144 (1992) module 43, x  -8.32, y 8.1525, z 496.921
 43657700 (1901) module 41, x -6.6975, y 6.6125, z 401.411
 41566459 (1802) module 39, x -5.4325, y 5.3475, z 324.463

Track #16, length 8
 53502082 (2329) module 51, x -12.0025, y -0.2075, z 751.531
 51404685 (2245) module 49, x -11.3975, y -0.1525, z 706.531
 49307544 (2161) module 47, x -10.7925, y -0.1525, z 661.531
 47210403 (2083) module 45, x -10.1875, y -0.1525, z 616.531
 45113025 (1990) module 43, x -8.5375, y -0.125, z 497.982
 43015896 (1900) module 41, x -7.2725, y -0.0975003, z 402.473
 40918763 (1800) module 39, x   -6.2, y -0.0975003, z 325.525
 38821371 (1697) module 37, x -5.3475, y -0.0700002, z 263.531

Track #17, length 6
 54121872 (2330) module 51, x -11.4275, y 11.2325, z 750.469
 52028061 (2246) module 49, x -10.6942, y 10.4992, z 705.469
 49934507 (2162) module 47, x -9.9425, y 9.7475, z 660.469
 47840952 (2085) module 45, x -9.1725, y 9.0325, z 615.469
 45752283 (1994) module 43, x -7.2475, y 7.1075, z 496.921
 43662327 (1905) module 41, x  -5.68, y 5.5675, z 401.411

Track #18, length 12
 54339890 (2331) module 51, x -11.3725, y 30.345, z 751.531
 52239445 (2247) module 49, x -10.6575, y 28.4475, z 706.531
 50138999 (2163) module 47, x -9.9425, y 26.5775, z 661.531
 48038553 (2084) module 45, x -9.255, y 24.7075, z 616.531
