Track #0, length 13
 51414153 (1480) module 49, x -11.6175, y -2.1875, z 706.531
 49316503 (1408) module 47, x -10.8475, y -2.0775, z 661.531
 47218597 (1336) module 45, x -10.05, y -1.9125, z 616.531
 45119691 (1266) module 43, x -7.9875, y -1.555, z 497.982
 43021289 (1204) module 41, x -6.3375, y -1.2525, z 402.473

Track #19, length 4
 54118233 (1548) module 51, x -12.1975, y 14.2575, z 750.469
 52024682 (1482) module 49, x  -11.4, y 13.3225, z 705.469
 49931130 (1410) module 47, x -10.63, y 12.415, z 660.469
 47837579 (1338) module 45, x  -9.86, y 11.5075, z 615.469

Track #20, length 7
 53488768 (1549) module 51, x -12.1125, y  2.625, z 751.531
 51392396 (1481) module 49, x -11.425, y 2.4875, z 706.531
 49296025 (1409) module 47, x -10.7375, y 2.3225, z 661.531
 47199398 (1337) module 45, x -10.0225, y  2.185, z 616.531
 45104071 (1264) module 43, x -8.2075, y    1.8, z 497.982
 43008481 (1203) module 41, x -6.7775, y 1.4975, z 402.473
 40912630 (1139) module 39, x -5.595, y 1.2225, z 325.525

Track #21, length 6
 53485704 (1550) module 51, x -11.6725, y  3.285, z 751.531
 51389589 (1483) module 49, x -10.9575, y  3.065, z 706.531
 49293475 (1411) module 47, x -10.1875, y 2.8725, z 661.531
 47197360 (1339) module 45, x -9.4725, y 2.6525, z 616.531
 45102804 (1267) module 43, x -7.4925, y 2.1025, z 497.982
 43007728 (1206) module 41, x -5.925, y 1.6625, z 402.473

Track #22, length 7
 53576881 (1551) module 51, x  -9.39, y -16.3775, z 751.531
 51474876 (1484) module 49, x -8.8125, y -15.36, z 706.531
 49373127 (1413) module 47, x -8.2075, y -14.3425, z 661.531
 47271122 (1341) module 45, x -7.6025, y -13.2975, z 616.531
 45161198 (1270) module 43, x -6.0625, y -10.575, z 497.982
 42661577 (1147) module 40, x -4.605, y -8.0975, z 389.411
 40559849 (1078) module 38, x -3.5875, y -6.3375, z 312.463

Track #23, length 6
 53518004 (1552) module 51, x -9.2525, y -3.6175, z 751.531
 51419837 (1485) module 49, x  -8.73, y -3.3975, z 706.531
 49321671 (1412) module 47, x -8.2075, y -3.205, z 661.531
 47223760 (1340) module 45, x -7.685, y -3.0125, z 616.531
 45124074 (1268) module 43, x -6.2825, y -2.4625, z 497.982
 43024894 (1207) module 41, x -5.1825, y -2.0225, z 402.473

Track #24, length 8
 53570230 (1553) module 51, x -9.1425, y -14.9475, z 751.531
 51468991 (1486) module 49, x -8.6475, y -14.0675, z 706.531
 49368008 (1414) module 47, x -8.125, y -13.2425, z 661.531
 47266770 (1342) module 45, x -7.6025, y -12.39, z 616.531
 45159147 (1269) module 43, x -6.2275, y -10.135, z 497.982
 42663114 (1146) module 40, x -4.9075, y -8.0425, z 389.411
 40561637 (1077) module 38, x     -4, y -6.5575, z 312.463
 38461179 (1017) module 36, x -3.2575, y -5.3475, z 250.469

Track #25, length 5
 53504445 (1554) module 51, x -8.7575, y  -0.73, z 751.531
 51407302 (1487) module 49, x -8.2625, y -0.7025, z 706.531
 49309903 (1415) module 47, x -7.7675, y -0.6475, z 661.531
 47212504 (1343) module 45, x -7.2725, y -0.5925, z 616.531
 45114864 (1272) module 43, x -5.9525, y -0.4825, z 497.982

Track #26, length 5
 53486788 (1555) module 51, x -8.3725, y  3.065, z 751.531
 51390412 (1488) module 49, x -7.9325, y    2.9, z 706.531
 49294036 (1416) module 47, x -7.4925, y  2.735, z 661.531
 47197659 (1344) module 45, x -7.1075, y   2.57, z 616.531
 45102576 (1271) module 43, x -5.9525, y 2.1575, z 497.982

Track #27, length 5
 53511886 (1556) module 51, x -7.8225, y -2.2975, z 751.531
 51414231 (1489) module 49, x -7.3275, y -2.1875, z 706.531
 49316318 (1417) module 47, x -6.90583, y -2.04083, z 661.531
 47218664 (1345) module 45, x -6.3925, y -1.9125, z 616.531
 45119742 (1274) module 43, x -5.14125, y -1.56875, z 497.982

Track #28, length 4
 53527258 (1557) module 51, x -7.1625, y -5.5975, z 751.531
 51428578 (1490) module 49, x -6.7225, y -5.2675, z 706.531
 49329642 (1418) module 47, x -6.2825, y  -4.91, z 661.531
 47230962 (1346) module 45, x -5.8425, y -4.5525, z 616.531

Track #29, length 7
 54150018 (1559) module 51, x -5.2675, y 12.0025, z 750.469
 52054414 (1492) module 49, x -4.9375, y 11.315, z 705.469
 49958555 (1420) module 47, x -4.6625, y 10.6275, z 660.469
 47862951 (1347) module 45, x -4.3325, y 9.9675, z 615.469
 45769416 (1275) module 43, x -3.5625, y 8.1525, z 496.921
 43675362 (1208) module 41, x -2.9025, y 6.7225, z 401.411
 41580535 (1142) module 39, x -2.4075, y 5.5675, z 324.463

Track #30, length 7
 54152280 (1560) module 51, x -4.73583, y 14.2758, z 750.469
 52056681 (1493) module 49, x -4.4425, y 13.3775, z 705.469
 49961081 (1421) module 47, x -4.1125, y  12.47, z 660.469
 47865226 (1348) module 45, x -3.8375, y 11.5625, z 615.469
 45771957 (1276) module 43, x -3.0125, y 9.1975, z 496.921
 43677657 (1209) module 41, x -2.4075, y 7.2175, z 401.411
 41583093 (1143) module 39, x -1.8575, y 5.6775, z 324.463

Track #31, length 5
 54163399 (1563) module 51, x -2.4075, y 8.2075, z 750.469
 52066767 (1494) module 49, x -2.2975, y   7.74, z 705.469
 49970392 (1422) module 47, x -2.1325, y 7.2725, z 660.469
 47873760 (1349) module 45, x -2.0225, y 6.8325, z 615.469
 45778422 (1277) module 43, x -1.6375, y  5.595, z 496.921

Track #32, length 4
 54171361 (1565) module 51, x -0.702499, y   6.75, z 750.469
 52074472 (1495) module 49, x -0.647499, y  6.365, z 705.469
 49977327 (1423) module 47, x -0.619999, y 6.0075, z 660.469
 47880438 (1350) module 45, x -0.592499, y 5.6225, z 615.469

Track #33, length 7
 54177917 (1566) module 51, x 0.727501, y 12.2775, z 750.469
 52080522 (1496) module 49, x 0.672501, y 11.5625, z 705.469
 49983126 (1424) module 47, x 0.6175, y 10.9025, z 660.469
 47885730 (1351) module 45, x 0.5625, y 10.215, z 615.469
 45787843 (1278) module 43, x 0.397499, y 8.4275, z 496.921
 43690205 (1210) module 41, x 0.287498, y 6.9975, z 401.411
 41592562 (1144) module 39, x 0.204998, y 5.8425, z 324.463

Track #34, length 5
 54180801 (1567) module 51, x 1.3325, y 8.5375, z 750.469
 52083403 (1497) module 49, x 1.2775, y 7.9875, z 705.469
 49986005 (1425) module 47, x 1.2225, y 7.4375, z 660.469
 47888607 (1352) module 45, x 1.1675, y 6.8875, z 615.469
 45790713 (1279) module 43, x 1.0025, y 5.4575, z 496.921

Track #35, length 4
 54184673 (1568) module 51, x 2.1575, y   6.75, z 750.469
 52087017 (1498) module 49, x 2.0475, y 6.3375, z 705.469
 49989105 (1426) module 47, x 1.8825, y 5.8975, z 660.469
 47891449 (1353) module 45, x 1.7725, y 5.4575, z 615.469

Track #36, length 4
 53145317 (1499) module 50, x -4.1375, y -6.5575, z 738.469
 51047147 (1427) module 48, x -3.9175, y -6.2275, z 693.469
 48948977 (1354) module 46, x -3.6975, y  -5.87, z 648.469
 46850808 (1281) module 44, x -3.4775, y -5.5125, z 603.469

Track #37, length 4
 53136870 (1500) module 50, x -2.3225, y -6.475, z 738.469
 51039214 (1428) module 48, x -2.2125, y -6.0625, z 693.469
 48941301 (1355) module 46, x -2.0475, y  -5.65, z 648.469
 46843389 (1282) module 44, x -1.8825, y -5.2375, z 603.469

Track #38, length 4
 53101776 (1501) module 50, x 5.2125, y -7.685, z 738.469
 51006169 (1429) module 48, x 4.8825, y  -7.19, z 693.469
 48910562 (1356) module 46, x 4.5525, y -6.7225, z 648.469
 46814955 (1283) module 44, x  4.195, y -6.2275, z 603.469

Track #39, length 4
 52440033 (1506) module 50, x 6.7775, y -2.7075, z 739.531
 50343657 (1434) module 48, x 6.3375, y -2.515, z 694.531
 48247537 (1358) module 46, x 5.8975, y -2.3225, z 649.531
 46151161 (1284) module 44, x 5.4575, y -2.1575, z 604.531

Track #40, length 6
 52501929 (1507) module 50, x 9.8575, y 10.7125, z 739.531
 50401461 (1435) module 48, x 9.1975, y 9.9975, z 694.531
 48300993 (1360) module 46, x 8.5375, y 9.2825, z 649.531
 46201036 (1285) module 44, x 7.9325, y  8.595, z 604.531
 44095467 (1215) module 42, x 6.2275, y 6.7525, z 485.982
 43712505 (1211) module 41, x 5.0725, y 5.4575, z 401.411

Track #41, length 6
 52469400 (1508) module 50, x 10.7925, y  3.645, z 739.531
 50371237 (1436) module 48, x 10.0775, y 3.3975, z 694.531
 48273073 (1361) module 46, x   9.39, y 3.1775, z 649.531
