Track #0, length 12
 35289827 (1338) module 33, x -2.215, y 6.6675, z 212.469
 33193970 (1248) module 31, x  -1.94, y 5.8425, z 187.469

Track #15, length 12
 54316064 (2000) module 51, x -6.1475, y 31.335, z 751.531
 52216900 (1941) module 49, x -5.735, y 29.3825, z 706.531
 50117992 (1882) module 47, x -5.3225, y 27.4025, z 661.531
 48019084 (1818) module 45, x -4.9375, y 25.4225, z 616.531
 45917418 (1754) module 43, x -3.9475, y 20.2525, z 497.982
 43674169 (1674) module 41, x -3.095, y 16.0175, z 401.411
 41580406 (1590) module 39, x -2.4075, y 12.6625, z 324.463
 39485607 (1508) module 37, x -1.9125, y   9.94, z 262.469
 37389499 (1425) module 35, x -1.6925, y   8.84, z 237.469
 35293391 (1339) module 33, x -1.4725, y   7.74, z 212.469
 33197283 (1249) module 31, x -1.2525, y 6.6675, z 187.469
 31101175 (1163) module 29, x -1.0325, y 5.5675, z 162.469

Track #16, length 8
 54165043 (2004) module 51, x -2.0225, y 16.3475, z 750.469
 52068421 (1945) module 49, x -1.9125, y 15.3575, z 705.469
 49971799 (1884) module 47, x -1.8025, y 14.3675, z 660.469
 47875177 (1821) module 45, x -1.665, y 13.3775, z 615.469
 45779609 (1755) module 43, x -1.3625, y 10.7375, z 496.921
 43683775 (1675) module 41, x -1.0875, y 8.6475, z 401.411
 41587678 (1593) module 39, x -0.8675, y 6.9425, z 324.463
 39491319 (1509) module 37, x -0.702499, y 5.5675, z 262.469

Track #17, length 7
 54165623 (2005) module 51, x -1.885, y 12.6075, z 750.469
 52068997 (1946) module 49, x -1.8025, y 11.8375, z 705.469
 49972115 (1885) module 47, x -1.7475, y 11.0675, z 660.469
 47875233 (1820) module 45, x -1.6925, y 10.2975, z 615.469
 45779654 (1756) module 43, x -1.3625, y 8.2625, z 496.921
 43683811 (1676) module 41, x -1.0875, y 6.6675, z 401.411
 41587707 (1592) module 39, x -0.8675, y 5.3475, z 324.463

Track #18, length 5
 54184400 (2006) module 51, x 2.1025, y 7.7125, z 750.469
 52086744 (1947) module 49, x 1.9925, y 7.2725, z 705.469
 49989088 (1886) module 47, x 1.8825, y  6.805, z 660.469
 47891433 (1822) module 45, x 1.7725, y 6.3375, z 615.469
 45792767 (1757) module 43, x 1.4425, y 5.1275, z 496.921

Track #19, length 7
 54186096 (2007) module 51, x 2.4875, y 12.9925, z 750.469
