Track #0, length 7
 47214665 (2237) module 45, x -15.1375, y -1.115, z 616.531
 45116543 (2140) module 43, x -12.1675, y -0.895, z 497.982
 43018666 (2039) module 41, x -9.8025, y -0.7025, z 402.473
 40921037 (1934) module 39, x -7.8775, y -0.5925, z 325.525
 38823401 (1830) module 37, x -6.3375, y -0.4825, z 263.531
 36726004 (1720) module 35, x -5.7325, y -0.4275, z 238.531
 34628607 (1616) module 33, x -5.1275, y -0.3725, z 213.531

Track #12, length 11
 54364879 (2535) module 51, x -16.7075, y 21.7375, z 751.531
 52262633 (2442) module 49, x -15.6075, y 20.3075, z 706.531
 49912837 (2343) module 47, x -14.535, y 18.8775, z 660.469
 47820573 (2238) module 45, x -13.49, y 17.5575, z 615.469
 45736282 (2141) module 43, x -10.7675, y 14.2025, z 496.921
 43648651 (2042) module 41, x -8.6225, y 11.5075, z 401.411
 41559731 (1937) module 39, x -6.8625, y   9.28, z 324.463
 39469269 (1834) module 37, x -5.4325, y 7.4375, z 262.469
 37374690 (1726) module 35, x -4.8825, y  6.695, z 237.469
 35280112 (1618) module 33, x -4.3325, y 5.9525, z 212.469
 33185277 (1513) module 31, x  -3.81, y   5.21, z 187.469

Track #13, length 12
 53611842 (2536) module 51, x -15.5225, y -24.05, z 751.531
 51508562 (2444) module 49, x -14.6058, y -22.6292, z 706.531
 49404771 (2344) module 47, x -13.7075, y -21.1625, z 661.531
 47300980 (2239) module 45, x -12.7725, y -19.7325, z 616.531
 45185952 (2142) module 43, x -10.3525, y -15.8825, z 497.982
 43074755 (2043) module 41, x -8.4275, y -12.8575, z 402.473
 40966367 (1936) module 39, x -6.8875, y -10.4375, z 325.525
 38860534 (1833) module 37, x -5.6225, y -8.4575, z 263.531
 36759807 (1724) module 35, x -5.1275, y -7.6875, z 238.531
 36371160 (1633) module 34, x -4.825, y -7.2725, z 225.469
 34271718 (1524) module 32, x -4.3025, y -6.5025, z 200.469
 32172277 (1417) module 30, x -3.8075, y -5.6775, z 175.469

Track #14, length 7
 54112480 (2537) module 51, x -13.4625, y 6.8325, z 750.469
 52019433 (2445) module 49, x -12.5825, y 6.3375, z 705.469
 49926385 (2345) module 47, x -11.7025, y 5.8975, z 660.469
 47833337 (2240) module 45, x -10.8225, y 5.4575, z 615.469
 45092545 (2143) module 43, x -8.5375, y 4.3025, z 497.982
